country_code,country_name,source,medicine_name,active_substance,strength,package_size,product_no,atc_code,shortage_start,estimated_end,status,marketing_auth_holder,notes,scraped_at,prk
FI,Finland,FIMEA,Atopica vet. 100 mg/ml,,,17 ml,176561,L04AD01,2026-08-21,2026-10-09,shortage,Elanco GmbH,"Lisätietoja antaa: Elanco, Ida Bisgaard Worm, +45 50 52 76 13, ida.worm@elancoah.com",2026-09-21T13:18:24.532143,40843
FI,Finland,FIMEA,Quetiapin Ratiopharm 50 mg,,,100,077881,N05AH04,2026-04-30,2026-11-30,shortage,Teva Pharma B.V.,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358 20 180 5900, infofinland@tevapharm.com",2026-09-21T13:18:24.532185,
FI,Finland,FIMEA,Porcilis ColiClos,,,20 ml,491249,I09AB08,2026-10-05,2026-12-18,shortage,Intervet International B.V.,"Lisätietoja antaa: MSD Animal Health Oy, Susanna Ketola, +358 50 4483389, susanna.ketola@msd.com",2026-09-21T13:18:24.532231,
FI,Finland,FIMEA,Ropinostad 8 mg,,,84,499473,N04BC04,2025-02-18,2027-02-28,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.532270,85642
FI,Finland,FIMEA,Ropinostad 4 mg,,,84,542413,N04BC04,2025-06-19,2026-10-31,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.532317,85634
FI,Finland,FIMEA,Galantamin Stada 16 mg,,,30,118379,N06DA04,2024-11-27,2026-11-30,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.532356,76775
FI,Finland,FIMEA,Galantamin Stada 16 mg,,,84,059059,N06DA04,2024-08-13,2026-11-30,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358 40 5570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.532399,76775
FI,Finland,FIMEA,Galantamin Stada 24 mg,,,30,469931,N06DA04,2024-11-27,2026-11-30,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.532443,76783
FI,Finland,FIMEA,Galantamin Stada 24 mg,,,84,389404,N06DA04,2024-11-27,2026-10-31,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.532482,76783
FI,Finland,FIMEA,Galantamin Stada 8 mg,,,30,564124,N06DA04,2024-11-27,2026-11-30,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.532524,76767
FI,Finland,FIMEA,Meropenem Stada 500 mg,,,10 x 500 mg,041983,J01DH02,2026-06-04,2027-02-28,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.532566,94811
FI,Finland,FIMEA,Meropenem Stada 1 g,,,10 x 1 g,116067,J01DH02,2026-05-07,2027-02-28,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.532606,94838
FI,Finland,FIMEA,Cefazolin MIP Pharma 2 g,,,10 x 100 ml,371282,J01DB04,2026-08-18,2026-10-31,shortage,MIP Pharma GmbH,"Lisätietoja antaa: MIP Pharma GmbH Germany, Angela Wittmann, angela.wittmann@mip-pharma.de",2026-09-21T13:18:24.532647,209538
FI,Finland,FIMEA,Pentocur,,,10 x 0.5 g,431844,N01AF03,2024-01-01,2026-12-31,shortage,Abcur AB,"Lisätietoja antaa: Abcur AB, +46 42 135770, InfoAbcur@advanzpharma.com",2026-09-21T13:18:24.532686,6467
FI,Finland,FIMEA,Pentocur,,,10 x 1 g,594817,N01AF03,2024-01-01,2026-12-31,shortage,Abcur AB,"Lisätietoja antaa: Abcur AB, +46 42 135770, InfoAbcur@advanzpharma.com",2026-09-21T13:18:24.532726,
FI,Finland,FIMEA,Galantamin Orion 16 mg,,,28,068937,N06DA04,2024-06-20,2027-02-15,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +3581044398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.532766,76775
FI,Finland,FIMEA,Galantamin Orion 16 mg,,,84,192182,N06DA04,2025-06-16,2027-02-15,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.532807,76775
FI,Finland,FIMEA,Galantamin Orion 24 mg,,,28,050002,N06DA04,2024-11-27,2027-02-15,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.532847,76783
FI,Finland,FIMEA,Galantamin Orion 24 mg,,,84,498340,N06DA04,2024-10-04,2027-02-15,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.532888,76783
FI,Finland,FIMEA,Pioglitazone Accord 45 mg,,,98,172376,A10BG03,2026-07-08,2026-12-31,shortage,Accord Healthcare S.L.U.,"Lisätietoja antaa: Accord Healthcare Oy, Accord Healthcare Oy, +358 10 2314180, asiakaspalvelu@accord-healthcare.com",2026-09-21T13:18:24.532929,84255
FI,Finland,FIMEA,Galantamin Orion 8 mg,,,28,372068,N06DA04,2026-02-02,2026-12-28,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.532969,76767
FI,Finland,FIMEA,Levetiracetam Accord 750 mg,,,100,502080,N03AX14,2026-02-18,2026-10-30,shortage,Accord Healthcare S.L.U.,"Lisätietoja antaa: Accord Healthcare Oy, Accord Healthcare Oy, +358 10 2314180, asiakaspalvelu@accord-healthcare.com",2026-09-21T13:18:24.533009,
FI,Finland,FIMEA,Gemcitabine Accord 100 mg/ml,,,15 ml,114636,L01BC05,2024-01-30,2026-12-31,shortage,Accord Healthcare B.V.,"Lisätietoja antaa: Accord Healthcare Oy, Accord Healthcare Oy, +358 10 2314180, asiakaspalvelu@accord-healthcare.com",2026-09-21T13:18:24.533049,101753
FI,Finland,FIMEA,Capecitabine Accord 500 mg,,,120,398138,L01BC06,2026-04-10,2026-09-30,shortage,Accord Healthcare S.L.U.,"Lisätietoja antaa: Accord Healthcare Oy, Accord Healthcare Oy, +358 10 2314180, asiakaspalvelu@accord-healthcare.com",2026-09-21T13:18:24.533088,59366
FI,Finland,FIMEA,Dacarbazine Lipomed 200 mg,,,10 x 200 mg,572839,L01AX04,2026-05-31,2027-12-31,shortage,Lipomed GmbH,"Lisätietoja antaa: Kurantis ApS, Tanja Breum Nielsen, +4526524288, tbn@kurantis.com",2026-09-21T13:18:24.533128,18066
FI,Finland,FIMEA,Eliquis 5 mg,,,28,445310,B01AF02,2026-07-07,2026-10-16,shortage,Bristol-Myers Squibb / Pfizer EEIG,"Lisätietoja antaa: Oy Bristol-Myers Squibb (Finland) Ab, lääkeneuvonta, +358925121244, medinfo.finland@bms.com",2026-09-21T13:18:24.533169,105678
FI,Finland,FIMEA,Celecoxib Viatris 200 mg,,,30,471030,M01AH01,2026-04-29,2027-02-05,shortage,Viatris Limited,"Lisätietoja antaa: Viatris Oy, Viatris Oy asiakasinformaatio, +358 20 720 9555, infofi@viatris.com",2026-09-21T13:18:24.533208,59005
FI,Finland,FIMEA,Celecoxib Viatris 100 mg,,,100,477070,M01AH01,2026-06-08,2026-12-31,shortage,Viatris Limited,"Lisätietoja antaa: Viatris Oy, Viatris Oy:n asiakasinformaatio, +358207209555, infofi@viatris.com",2026-09-21T13:18:24.533248,58998
FI,Finland,FIMEA,Rosuvastatin Orion 40 mg,,,98,190472,C10AA07,2026-07-06,2026-10-12,shortage,Aurobindo Pharma (Malta) Ltd,"Lisätietoja antaa: ORION CORPORATION, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.533288,201065
FI,Finland,FIMEA,ISENTRESS 100 mg,,,60,401134,J05AJ01,2026-03-20,2026-10-18,shortage,Merck Sharp & Dohme B.V.,"Lisätietoja antaa: MSD Finland Oy, Merita Suomalainen, +3589804650, info@msd.com",2026-09-21T13:18:24.533327,
FI,Finland,FIMEA,ISENTRESS 25 mg,,,60,391582,J05AJ01,2026-09-01,2026-10-18,shortage,Merck Sharp & Dohme B.V.,"Lisätietoja antaa: MSD Finland Oy, Merita Suomalainen, +3589804650, info@msd.com",2026-09-21T13:18:24.533365,
FI,Finland,FIMEA,NovoRapid PumpCart 100 U/ml,,,5 x 1.6 ml,467931,A10AB05,2025-08-14,2026-12-31,shortage,Novo Nordisk A/S,"Lisätietoja antaa: Novo Nordisk Farma Oy, novoInfo, +358 800 122 566, novoinfo@novonordisk.fi",2026-09-21T13:18:24.533405,121495
FI,Finland,FIMEA,Omnic Ocas 0.4 mg,,,90,505920,G04CA02,2026-06-17,2026-10-30,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.533445,76236
FI,Finland,FIMEA,Carvedilol Orion 12.5 mg,,,100,402570,C07AG02,2026-04-20,2027-01-04,shortage,Aurobindo Pharma (Malta) Ltd,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.533488,74241
FI,Finland,FIMEA,Carvedilol Orion 25 mg,,,100,540587,C07AG02,2026-06-15,2027-01-04,shortage,Aurobindo Pharma (Malta) Ltd,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.533530,41009
FI,Finland,FIMEA,Lymecycline Ratiopharm 300 mg,,,100,028638,J01AA04,2026-09-18,2026-09-25,shortage,Teva B.V.,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358 20 180 5900, infofinland@tevapharm.com",2026-09-21T13:18:24.533569,
FI,Finland,FIMEA,Spedra 50 mg,,,4 x 1,570086,G04BE10,2026-05-20,2026-09-30,shortage,Phoenix Labs Unlimited Company,"Lisätietoja antaa: Berlin-Chemie/A. Menarini Suomi Oy, Daniela Wollstén, +358403000760, nordics@berlin-chemie.com",2026-09-21T13:18:24.533609,115142
FI,Finland,FIMEA,Fusidic Acid Orifarm 20 mg/g,,,30 g,102880,D06AX01,2026-08-26,2026-12-31,shortage,Orifarm Generics A/S,"Lisätietoja antaa: Orifarm Healthcare Oy, Anna-Leena Haikkola, +35897746870, suomi@orifarm.com",2026-09-21T13:18:24.533649,5428
FI,Finland,FIMEA,Fusidic Acid Orifarm 20 mg/g,,,15 g,145978,D06AX01,2026-07-15,2026-12-31,shortage,Orifarm Generics A/S,"Lisätietoja antaa: Orifarm Healthcare Oy, Anna-Leena Haikkola, +35897746870, suomi@orifarm.com",2026-09-21T13:18:24.533689,5428
FI,Finland,FIMEA,Travoprost Stada 40 mikrog/ml,,,2.5 ml,180186,S01EE04,2026-07-15,2026-11-30,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.533728,206458
FI,Finland,FIMEA,Travoprost Stada 40 mikrog/ml,,,3 x 2.5 ml,084880,S01EE04,2026-09-01,2026-12-31,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-21T13:18:24.533767,
FI,Finland,FIMEA,Travatan 40 mikrog/ml,,,3 x 2.5 ml,042663,S01EE04,2025-12-16,2026-10-01,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.533806,206431
FI,Finland,FIMEA,Yasmin 0.03 mg / 3 mg,,,3 x 21,022508,G03AA12,2026-08-04,2026-09-30,shortage,Orifarm Oy,"Lisätietoja antaa: Orifarm Oy, Janne Liimatta, +358 9 7746 870, suomi@orifarm.com",2026-09-21T13:18:24.533845,56774
FI,Finland,FIMEA,Yasmin 0.03 mg / 3 mg,,,6 x 21,022519,G03AA12,2026-06-16,2026-10-30,shortage,Orifarm Oy,"Lisätietoja antaa: Orifarm Oy, Janne Liimatta, +358 9 7746 870, suomi@orifarm.com",2026-09-21T13:18:24.533885,56774
FI,Finland,FIMEA,Solifenacin Sandoz 5 mg,,,30,592805,G04BD08,2026-09-17,2026-12-31,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-21T13:18:24.533924,75337
FI,Finland,FIMEA,Cefotaxim Mip Pharma 1 g,,,10,582612,J01DD01,2026-01-01,2027-06-30,shortage,MIP Pharma GmbH,"Lisätietoja antaa: MIP Pharma GmbH Germany, Angela Wittmann, +49 8502 9184 430, angela.wittmann@mip-pharma.de",2026-09-21T13:18:24.533965,37168
FI,Finland,FIMEA,Cefotaxim Mip Pharma 2 g,,,10,428817,J01DD01,2026-04-01,2027-06-30,shortage,MIP Pharma GmbH,"Lisätietoja antaa: MIP Pharma GmbH Germany, Angela Wittmann, +49 8502 9184 430, angela.wittmann@mip-pharma.de",2026-09-21T13:18:24.534011,
FI,Finland,FIMEA,Ropinirol Orion 4 mg,,,84,373077,N04BC04,2025-08-11,2027-02-15,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.534055,85634
FI,Finland,FIMEA,Ropinirol Orion 8 mg,,,84,124989,N04BC04,2024-09-11,2027-06-30,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398256, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.534100,85642
FI,Finland,FIMEA,Ropinirol Orion 2 mg,,,84,596277,N04BC04,2024-10-22,2026-12-28,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.534141,48151
FI,Finland,FIMEA,Desloratadine Sandoz 5 mg,,,30,472322,R06AX27,2026-07-09,2026-10-21,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Ropi Heikkilä, +358 50 592 5710, ropi.heikkila@sandoz.com",2026-09-21T13:18:24.534182,59021
FI,Finland,FIMEA,Tolterodin Ratiopharm 4 mg,,,28,561986,G04BD07,2026-05-11,2026-12-31,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Jyrki Hakkarainen, +358 40 5626437, jyrki.hakkarainen@tevapharm.com",2026-09-21T13:18:24.534223,60534
FI,Finland,FIMEA,Eligard 45 mg,,,45 mg + 436 mg,480949,L02AE02,2026-01-31,2026-12-31,shortage,Paranova Oy,"Lisätietoja antaa: Paranova oy, Sebastian Saari, +35894391850, info@paranova.fi",2026-09-21T13:18:24.534263,85111
FI,Finland,FIMEA,Lorazepam Orion 1 mg,,,100,477647,N05BA06,2025-06-30,2027-03-15,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.534300,2445
FI,Finland,FIMEA,Lorazepam Orion 1 mg,,,30,573059,N05BA06,2026-03-02,2027-03-15,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.534340,2445
FI,Finland,FIMEA,Telmisartan/Hydrochlorothiazide Orion 80 mg / 12.5 mg,,,98,461771,C09DA07,2026-09-21,2026-11-03,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.534378,67261
FI,Finland,FIMEA,HYCAMTIN 1 mg,,,10,064570,L01CE01,2026-07-13,2026-10-31,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.534417,87203
FI,Finland,FIMEA,Wegovy FlexTouch 0.25 mg,,,1.5 ml,145414,A10BJ06,2025-06-11,2026-12-31,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.534456,
FI,Finland,FIMEA,Pomalidomide Teva 2 mg,,,21,463736,L04AX06,2026-06-22,2027-01-11,shortage,Teva GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-21T13:18:24.534495,107522
FI,Finland,FIMEA,Pomalidomide Teva 3 mg,,,21,571088,L04AX06,2026-09-10,2026-12-18,shortage,Teva GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-21T13:18:24.534533,107530
FI,Finland,FIMEA,Divigel 1 mg,,,28 x 1.0 g,579198,G03CA03,2026-01-15,2026-12-31,shortage,Orion Corporation,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-21T13:18:24.534571,
FI,Finland,FIMEA,Yuflyma 80 mg,,,0.8 ml,546264,L04AB04,2025-07-11,2026-12-30,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.534608,
FI,Finland,FIMEA,Reagila 4.5 mg,,,30,591031,N05AX15,2025-08-29,2026-10-31,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.534649,159158
FI,Finland,FIMEA,Reagila 3 mg,,,30,460883,N05AX15,2026-02-27,2026-10-31,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.534686,159131
FI,Finland,FIMEA,Wegovy FlexTouch 1.7 mg,,,3 ml,444264,A10BJ06,2025-08-25,2026-12-31,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.534725,223816
FI,Finland,FIMEA,Pomalidomide Teva 4 mg,,,21,162383,L04AX06,2026-09-10,2026-10-26,shortage,Teva GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-21T13:18:24.534763,107549
FI,Finland,FIMEA,Rectogesic 4 mg/g,,,30 g,440051,C05AE01,2026-03-17,2026-11-30,shortage,Orifarm Oy,"Lisätietoja antaa: Orifarm Oy, Janne Liimatta, +358 9 7746 870, suomi@orifarm.com",2026-09-21T13:18:24.534801,
FI,Finland,FIMEA,Reagila 6 mg,,,30,528571,N05AX15,2025-07-15,2026-10-31,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.534840,159166
FI,Finland,FIMEA,Vepesid 50 mg,,,20,397956,L01CB01,2026-04-27,2026-12-31,shortage,Abacus Medicine A/S,"Lisätietoja antaa: Abacus Medicine A/S, Jaisa Nykänen, +358942721465, jaisa.nykanen@abacusmedicine.com",2026-09-21T13:18:24.534877,22276
FI,Finland,FIMEA,Adempas 1 mg,,,42,378994,C02KX05,2025-12-29,2026-09-30,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.534915,124672
FI,Finland,FIMEA,Remsima 120 mg,,,2 x 1 ml,399003,L04AB02,2026-08-24,2026-10-30,shortage,Orifarm Oy,"Lisätietoja antaa: Orifarm Oy, Janne Liimatta, +358 9 7746 870, suomi@orifarm.com",2026-09-21T13:18:24.534951,201715
FI,Finland,FIMEA,Pamorelin 22.5 mg,,,22.5 mg + 2 ml,481152,L02AE04,2026-05-20,2026-12-31,shortage,Abacus Medicine A/S,"Lisätietoja antaa: Abacus Medicine A/S, Jaisa Nykänen, +358942721465, jaisa.nykanen@abacusmedicine.com",2026-09-21T13:18:24.534988,91820
FI,Finland,FIMEA,Diacomit 500 mg,,,60,452133,N03AX17,2025-12-01,2026-09-30,shortage,Paranova Oy,"Lisätietoja antaa: Paranova oy, Sebastian Saari, +35894391850, info@paranova.fi",2026-09-21T13:18:24.535025,88579
FI,Finland,FIMEA,Fycompa 10 mg,,,28,576205,N03AX22,2026-07-30,2026-09-30,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.535063,115509
FI,Finland,FIMEA,Haemate 1000 IU FVIII / 2400 IU VWF,,,1000 IU / 2400 IU + 15 ml,424765,B02BD06,2026-04-08,2026-12-31,shortage,Abacus Medicine A/S,"Lisätietoja antaa: Abacus Medicine A/S, Jaisa Nykänen, +358942721465, jaisa.nykanen@abacusmedicine.com",2026-09-21T13:18:24.535102,82317
FI,Finland,FIMEA,Omnic Ocas 0.4 mg,,,90,073430,G04CA02,2026-06-30,2026-12-31,shortage,Abacus Medicine A/S,"Lisätietoja antaa: Abacus Medicine A/S, Henna Luoto, +358 9 42721465, henna.luoto@abacusmedicine.com",2026-09-21T13:18:24.535145,76236
FI,Finland,FIMEA,Wegovy FlexTouch 0.5 mg,,,1.5 ml,479681,A10BJ06,2025-07-04,2026-12-30,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.535185,
FI,Finland,FIMEA,Wegovy FlexTouch 1 mg,,,3 ml,083408,A10BJ06,2025-03-17,2026-12-30,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.535224,
FI,Finland,FIMEA,Yuflyma 40 mg,,,2 x 0.4 ml,184065,L04AB04,2025-06-11,2026-12-30,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.535263,129798
FI,Finland,FIMEA,Wegovy FlexTouch 2.4 mg,,,3 ml,187528,A10BJ06,2025-06-20,2026-12-31,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-21T13:18:24.535301,223824
