country_code,country_name,source,medicine_name,brand_name,active_substance,generic_name,strength,package_size,dosage_form,presentation,package_ndc,product_ndc,application_number,route,therapeutic_category,pharmacologic_class,manufacturer,company_name,contact_info,status,update_type,shortage_start,shortage_reason,reason,estimated_end,discontinued_date,update_date,related_info,scraped_at,atc_code,prk
US,United States,FDA,Ropivacaine Hydrochloride Injection,NAROPIN,ROPIVACAINE HYDROCHLORIDE,Ropivacaine Hydrochloride Injection,,,Injection,"Naropin, Injection, 2 mg/1 mL (NDC 63323-285-63)",63323-285-63,"63323-285, 63323-286, 63323-287, 63323-288",NDA020533,"EPIDURAL, INFILTRATION",Anesthesia,,"Fresenius Kabi USA, LLC","Fresenius Kabi USA, LLC",888-386-1300,Current,Reverified,2018-03-23,Other,Other,,,2026-09-15,Estimated recovery: TBD,2026-09-23T21:01:42.331611,N01BB09,43532
US,United States,FDA,"Carbamazepine Capsule, Extended Release",CARBATROL,CARBAMAZEPINE,"Carbamazepine Capsule, Extended Release",,,"Capsule, Extended Release","Carbatrol, Capsule, Extended Release, 300 mg (NDC 54092-173-12)",54092-173-12,"54092-173, 54092-171, 54092-172",NDA020712,ORAL,Neurology,Mood Stabilizer [EPC],"Takeda Pharmaceuticals America, Inc.",Takeda Pharmaceuticals USA Inc.,855-268-1825,To Be Discontinued,New,2025-12-19,,,,2025-12-19,2025-12-19,Discontinuation of the manufacture of the drug,2026-09-23T21:01:42.331633,N03AF01,
US,United States,FDA,Paricalcitol Capsule,ZEMPLAR,PARICALCITOL,Paricalcitol Capsule,,,Capsule,"Zemplar, Capsule, 1 ug (NDC 0074-9036-30)",0074-9036-30,"0074-9036, 0074-4314, 0074-4317, 0074-9037",NDA021606,ORAL,Endocrinology/Metabolism,"Vitamin D2 Analog [EPC], Vitamin D Analog [EPC]",AbbVie Inc.,AbbVie Inc.,800-633-9110,To Be Discontinued,New,2025-10-07,,,,2025-10-07,2025-10-07,Discontinuation of the manufacture of the drug,2026-09-23T21:01:42.331656,H05BX02,
US,United States,FDA,Lisdexamfetamine Dimesylate Capsule,,,Lisdexamfetamine Dimesylate Capsule,,,Capsule,"Lisdexamfetamine Dimesylate, Capsule, 50 mg (NDC 0527-4665-37)",0527-4665-37,,,,Psychiatry,,"Lannett Company, Inc.","Lannett Company, Inc.",844-834-0530,Current,Reverified,2023-07-14,,,,,2026-09-15,,2026-09-23T21:01:42.331671,,
US,United States,FDA,Lorazepam Injection,,,Lorazepam Injection,,,Injection,"Ativan, Injection, 4 mg/1 mL (NDC 0641-6002-10)",0641-6002-10,,,,Neurology,,"Hikma Pharmaceuticals USA, Inc.","Hikma Pharmaceuticals USA, Inc.",800-631-2174,Current,Reverified,2018-09-05,Other,Other,,,2026-09-18,Estimated recovery: TBD,2026-09-23T21:01:42.331687,,
US,United States,FDA,Haloperidol Decanoate Injection,HALOPERIDOL DECANOATE,HALOPERIDOL DECANOATE,Haloperidol Decanoate Injection,,,Injection,"Haloperidol Decanoate, Injection, 50 mg/1 mL (NDC 63323-469-05)",63323-469-05,"63323-469, 63323-471",ANDA074893,INTRAMUSCULAR,Psychiatry,,"Fresenius Kabi USA, LLC","Fresenius Kabi USA, LLC",888-386-1300,To Be Discontinued,New,2026-01-09,,,,2026-01-09,2026-01-09,Discontinuation of the manufacture of the drug,2026-09-23T21:01:42.331711,N05AD01,16632
US,United States,FDA,Bupivacaine Hydrochloride Injection,BUPIVACAINE HYDROCHLORIDE,BUPIVACAINE HYDROCHLORIDE,Bupivacaine Hydrochloride Injection,,,Injection,"Bupivacaine Hydrochloride PRESERVATIVE FREE, Injection, 2.5 mg/1 mL
5mg / 1mL (NDC 72266-263-10)",72266-263-10,"72266-263, 72266-264",ANDA091487,"EPIDURAL, INFILTRATION",Anesthesia,,Fosun Pharma USA Inc.,ONESOURCE SPECIALTY PTE LTD,888-217-8103,Current,Revised,2018-02-20,,,,,2026-09-18,Distributed by Fosun Pharma USA Inc.,2026-09-23T21:01:42.331730,N01BB01,
US,United States,FDA,Sterile Water Injection,STERILE WATER,WATER,Sterile Water Injection,,,Injection,"Sterile Water, Injection, 1 mL/1 mL (NDC 0409-4887-99)",0409-4887-99,0409-4887,NDA018801,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",Other,,"Hospira, Inc.","Hospira, Inc., a Pfizer Company",844-646-4398,Current,Reverified,2021-11-23,,,,,2026-09-09,,2026-09-23T21:01:42.331747,,
US,United States,FDA,Carboplatin Injection,CARBOPLATIN,CARBOPLATIN,Carboplatin Injection,,,Injection,"Carboplatin, Injection, 10 mg/1 mL (NDC 0703-4246-01)",0703-4246-01,"0703-4246, 0703-4244, 0703-4248, 0703-4239",ANDA077269,INTRAVENOUS,Oncology,Platinum-based Drug [EPC],"Teva Parenteral Medicines, Inc.","Teva Pharmaceuticals USA, Inc.",800-545-8800,Current,Revised,2023-04-28,Other,Other,,,2026-09-15,Estimated recovery: September 2027,2026-09-23T21:01:42.331763,L01XA02,119113
US,United States,FDA,Plerixafor Injection,PLERIXAFOR,PLERIXAFOR,Plerixafor Injection,,,Injection,"Plerixafor, Injection, 24 mg per 1.2 mL (20 mg per mL) (NDC 65219-284-12)",65219-284-12,65219-284,NDA022311,SUBCUTANEOUS,Hematology,Hematopoietic Stem Cell Mobilizer [EPC],"Fresenius Kabi Usa, LLC","Fresenius Kabi USA, LLC",888-391-6300 www.fresenius-kabi.com,To Be Discontinued,New,2026-03-13,,,,2026-03-13,2026-03-13,A business decision was made to discontinue manufacture of the drug.,2026-09-23T21:01:42.331787,L03AX16,131156
US,United States,FDA,"Lisdexamfetamine Dimesylate Tablet, Chewable",LISDEXAMFETAMINE DIMESYLATE,LISDEXAMFETAMINE DIMESYLATE,"Lisdexamfetamine Dimesylate Tablet, Chewable",,,"Tablet, Chewable","Lisdexamfetamine Dimesylate, Tablet, Chewable, 40 mg (NDC 72205-135-91)",72205-135-91,"72205-135, 72205-132, 72205-133, 72205-134, 72205-136, 72205-137",ANDA218306,ORAL,Psychiatry,,Novadoz Pharmaceuticals LLC,Novadoz Pharmaceuticals LLC,(855) 668-2369; customerservice@novadozpharma.com,Current,Reverified,2023-07-14,,,,,2026-09-16,,2026-09-23T21:01:42.331803,N06BA12,
US,United States,FDA,Methotrexate Sodium Injection,METHOTREXATE,METHOTREXATE SODIUM,Methotrexate Sodium Injection,,,Injection,"Methotrexate Sodium, Injection, 1 g/40 mL (25 mg/mL) (NDC 61703-408-25)",61703-408-25,"61703-408, 61703-350",NDA011719,"INTRAMUSCULAR, INTRATHECAL, INTRAVENOUS, SUBCUTANEOUS","Rheumatology, Oncology",,"Hospira, Inc.","Hospira, Inc., a Pfizer Company",844-646-4398,Current,Reverified,2023-03-13,,,,,2026-09-09,,2026-09-23T21:01:42.331823,L01BA01,102806
US,United States,FDA,Hydrocortisone Acetate Suppository,HYDROCORTISONE ACETATE,HYDROCORTISONE ACETATE,Hydrocortisone Acetate Suppository,,,Suppository,"Hydrocortisone Acetate, Suppository, 30 mg (NDC 0574-7093-12)",0574-7093-12,"0574-7093, 0574-7090",,RECTAL,"Analgesia/Addiction, Other",,Padagis US LLC,Padagis US LLC,(800) 775-2054,To Be Discontinued,New,2026-07-23,,,,2026-07-23,2026-07-23,Discontinuation of the manufacture of the drug,2026-09-23T21:01:42.331842,A01AC03,
US,United States,FDA,"Calcium Chloride; Dextrose; Magnesium Chloride; Sodium Chloride; Sodium Lactate Intraperitoneal Injection, Solution",DIANEAL PD-2 WITH DEXTROSE,"DEXTROSE MONOHYDRATE, SODIUM CHLORIDE, SODIUM LACTATE, CALCIUM CHLORIDE, MAGNESIUM CHLORIDE","Calcium Chloride; Dextrose; Magnesium Chloride; Sodium Chloride; Sodium Lactate Intraperitoneal Injection, Solution",,,Solution,"DIANEAL PD-2 with Dextrose, Intraperitoneal Injection, Solution, 25.7 mg/100 mL; 4.25 g/100 mL; 5.08 mg/100 mL; 538 mg/100 mL; 448 mg/100 mL (NDC 0941-0415-06)",0941-0415-06,"0941-0415, 0941-0411, 0941-0413, 0941-0409, 0941-0457, 0941-0459, 0941-0426, 0941-0427, 0941-0429, 0941-0424, 0941-0430, 0941-0433, 0941-0484, 0941-0487, 0941-0490",NDA017512,INTRAPERITONEAL,Renal,,Vantive US Healthcare LLC,Vantive US Healthcare LLC,800-284-4060,To Be Discontinued,New,2026-08-03,,,,2026-08-03,2026-08-03,A business decision was made to discontinue manufacture of the drug.,2026-09-23T21:01:42.331864,,
US,United States,FDA,Sterile Water Irrigant,STERILE WATER,WATER,Sterile Water Irrigant,,,Irrigant,"Sterile Water, Irrigant, 100 mL/100 mL (NDC 0338-0004-04)",0338-0004-04,"0338-0004, 0338-0003",NDA017428,IRRIGATION,"Gastroenterology, Other, Pediatric",,Baxter Healthcare Corporation,Baxter Healthcare,888-229-0001,Current,Reverified,2023-04-28,Demand increase for the drug,Demand increase for the drug,,,2026-09-17,Estimated recovery: September 2026,2026-09-23T21:01:42.331883,,
US,United States,FDA,Clindamycin Phosphate Injection,CLEOCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,Clindamycin Phosphate Injection,,,Injection,"Cleocin Phosphate, Injection, 900 mg/6 mL (150 mg/mL); 6 mL Vial NovaPlus (NDC 0009-5095-06)",0009-5095-06,"0009-5095, 0009-3051, 0009-4073",NDA050441,"INTRAMUSCULAR, INTRAVENOUS",Anti-Infective,,Pharmacia & Upjohn Company LLC,Pfizer Inc.,844-646-4398,To Be Discontinued,New,2026-06-01,,,,2026-06-01,2026-06-01,Discontinuation of the manufacture of the drug,2026-09-23T21:01:42.331907,D10AF01,
US,United States,FDA,Atropine Sulfate Injection,ATROPINE SULFATE,ATROPINE SULFATE,Atropine Sulfate Injection,,,Injection,"Atropine Sulfate, Injection, 1 mg/1 mL (NDC 0517-1001-25)",0517-1001-25,"0517-1001, 0517-1004",ANDA216120,INTRAVENOUS,"Anesthesia, Neurology, Pediatric",,"American Regent, Inc.","American Regent, Inc.",800-645-1706,Current,Reverified,2012-01-01,,,,,2026-09-15,,2026-09-23T21:01:42.331926,A03BA01,
US,United States,FDA,Lorazepam Injection,LORAZEPAM,LORAZEPAM,Lorazepam Injection,,,Injection,"Lorazepam, Injection, 2 mg/1 mL (NDC 0641-6044-25)",0641-6044-25,"0641-6044, 0641-6046, 0641-6045, 0641-6047",NDA018140,"INTRAMUSCULAR, INTRAVENOUS",Neurology,Benzodiazepine [EPC],Hikma Pharmaceuticals USA Inc.,"Hikma Pharmaceuticals USA, Inc.",800-631-2174,Current,Reverified,2018-09-05,Demand increase for the drug,Demand increase for the drug,,,2026-09-18,Estimated recovery: TBD,2026-09-23T21:01:42.331947,N05BA06,125873
US,United States,FDA,Moxifloxacin Injection,MOXIFLOXACIN,MOXIFLOXACIN HYDROCHLORIDE,Moxifloxacin Injection,,,Injection,"Moxifloxacin, Injection, 400mg per 250mL (NDC 63323-850-74)",63323-850-74,63323-850,NDA205572,INTRAVENOUS,Anti-Infective,,"Fresenius Kabi USA, LLC","Fresenius Kabi USA, LLC",888-386-1300,To Be Discontinued,New,2025-10-29,,,,2025-10-29,2025-10-29,Discontinuation of the manufacture of the drug,2026-09-23T21:01:42.331968,J01MA14,67636
US,United States,FDA,Lidocaine Hydrochloride Injection,LIDOCAINE HYDROCHLORIDE,LIDOCAINE HYDROCHLORIDE,Lidocaine Hydrochloride Injection,,,Injection,"Lidocaine Hydrochloride In Plastic Container, Injection, 400 mg/20 mL (2%; 20 mg/mL) (NDC 0409-4277-01)",0409-4277-01,"0409-4277, 0409-4713, 0409-4278, 0409-4279, 0409-4776, 0409-4282, 0409-4276, 0409-4275",ANDA088327,"INFILTRATION, PERINEURAL","Anesthesia, Pediatric",,"Hospira, Inc.","Hospira, Inc., a Pfizer Company",844-646-4398,Current,Reverified,2012-02-22,,,,,2026-09-09,,2026-09-23T21:01:42.332004,C01BB01,
US,United States,FDA,Dextrose Monohydrate 10% Injection,DEXTROSE,DEXTROSE MONOHYDRATE,Dextrose Monohydrate 10% Injection,,,Injection,"Dextrose 10% In Plastic Container, Injection, 100 g/1000 mL (NDC 0338-0023-02)",0338-0023-02,"0338-0023, 0338-0017",NDA016694,INTRAVENOUS,"Endocrinology/Metabolism, Gastroenterology, Other, Pediatric",,Baxter Healthcare Corporation,Baxter Healthcare,888-229-0001,Current,Revised,2022-03-01,,,,,2026-09-17,,2026-09-23T21:01:42.332020,B05BA01,
US,United States,FDA,Calcitriol Capsule,CALCITRIOL,CALCITRIOL,Calcitriol Capsule,,,Capsule,"Calcitriol, Capsule, .25 ug (NDC 0093-7352-01)",0093-7352-01,"0093-7352, 0093-7353",ANDA075765,ORAL,Endocrinology/Metabolism,Vitamin D3 Analog [EPC],"Teva Pharmaceuticals USA, Inc.","Teva Pharmaceuticals USA, Inc.",800-545-8800,To Be Discontinued,New,2025-12-04,,,,2025-12-04,2025-12-04,A business decision was made to discontinue manufacture of the drug,2026-09-23T21:01:42.332043,A11CC04,
US,United States,FDA,Bupivacaine Hydrochloride Injection,SENSORCAINE,BUPIVACAINE HYDROCHLORIDE,Bupivacaine Hydrochloride Injection,,,Injection,"Sensorcaine, Injection, 5 mg/1 mL (NDC 63323-467-57)",63323-467-57,"63323-467, 63323-465, 63323-460, 63323-464, 63323-466, 63323-462",NDA018304,PERINEURAL,Anesthesia,,"Fresenius Kabi USA, LLC","Fresenius Kabi USA, LLC",888-386-1300,Current,Reverified,2018-02-20,,,,,2026-09-15,Check wholesalers for inventory,2026-09-23T21:01:42.332062,N01BB01,
US,United States,FDA,Atropine Sulfate Injection,ATROPINE SULFATE,ATROPINE SULFATE,Atropine Sulfate Injection,,,Injection,"Atropine Sulfate, Injection, .4 mg/1 mL (NDC 0517-1004-25)",0517-1004-25,"0517-1004, 0517-1001",ANDA216120,INTRAVENOUS,"Anesthesia, Neurology, Pediatric",,"American Regent, Inc.","American Regent, Inc.",800-645-1706,Current,Reverified,2012-01-01,,,,,2026-09-15,,2026-09-23T21:01:42.332080,A03BA01,
US,United States,FDA,Ampicillin Sodium Injection,AMPICILLIN,AMPICILLIN SODIUM,Ampicillin Sodium Injection,,,Injection,"Ampicillin Sodium, Injection, 2 g (NDC 0781-9413-92)",0781-9413-92,"0781-9413, 0781-9412",ANDA062738,INTRAVENOUS,Anti-Infective,,Sandoz Inc,Sandoz Inc.,800-525-8747,To Be Discontinued,New,2025-12-08,,,,2025-12-08,2025-12-08,Discontinuation of private label only,2026-09-23T21:01:42.332110,J01CA01,
US,United States,FDA,Hydromorphone Hydrochloride Injection,HYDROMORPHONE HYDROCHLORIDE,HYDROMORPHONE HYDROCHLORIDE,Hydromorphone Hydrochloride Injection,,,Injection,"Hydromorphone Hydrochloride, Injection, 10 mg/1 mL (NDC 0703-0113-03)",0703-0113-03,"0703-0113, 0703-0110, 0703-0018",ANDA078591,"INTRAMUSCULAR, INTRAVENOUS, SUBCUTANEOUS",Analgesia/Addiction,,"Teva Parenteral Medicines, Inc.","Teva Pharmaceuticals USA, Inc.",800-545-8800,Current,Revised,2017-11-01,Other,Other,,,2026-09-15,Estimated recovery: TBD,2026-09-23T21:01:42.332127,N02AA03,125822
US,United States,FDA,Dexamethasone Sodium Phosphate Injection,DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,Dexamethasone Sodium Phosphate Injection,,,Injection,"Dexamethasone Sodium Phosphate, Injection, 4 mg/1 mL (NDC 63323-165-01)",63323-165-01,63323-165,ANDA084916,"INTRAMUSCULAR, INTRAVENOUS","Dermatology, Endocrinology/Metabolism, Gastroenterology, Hematology, Neurology, Oncology, Ophthalmology, Other, Pulmonary/Allergy, Rheumatology",,"Fresenius Kabi USA, LLC","Fresenius Kabi USA, LLC",888-386-1300,Current,Reverified,2019-02-08,,,,,2026-09-15,Check wholesalers for inventory,2026-09-23T21:01:42.332143,A01AC02,126942
US,United States,FDA,Vigabatrin Oral Solution,,,Vigabatrin Oral Solution,,,Oral Solution,"Vigpoder, Oral Solution, 50 mg/1 mL (NDC 80789-117-50)",80789-117-50,,,,Neurology,,"Pyros Pharmaceuticals, Inc.","Pyros Pharmaceuticals, Inc.",763-315-2000,To Be Discontinued,New,2025-10-16,,,,2025-10-16,2025-10-16,Discontinuation of the manufacture of the drug,2026-09-23T21:01:42.332165,,
US,United States,FDA,Sodium Acetate Injection,SODIUM ACETATE,SODIUM ACETATE ANHYDROUS,Sodium Acetate Injection,,,Injection,"Sodium Acetate, Injection, 40 mEq/20 mL (2 mEq/mL) (NDC 0409-7299-25)",0409-7299-25,0409-7299,NDA018893,INTRAVENOUS,"Endocrinology/Metabolism, Gastroenterology, Pediatric, Total Parenteral Nutrition",,"Hospira, Inc.","Hospira, Inc., a Pfizer Company",844-646-4398,Current,Reverified,2016-02-03,,,,,2026-09-09,,2026-09-23T21:01:42.332183,,
US,United States,FDA,Omeprazole Delayed Release Capsule,OMEPRAZOLE,OMEPRAZOLE,Omeprazole Delayed Release Capsule,,,,"Omeprazole, Delayed Release Capsule, 40 mg (NDC 0781-2234-10)",0781-2234-10,0781-2234,ANDA076515,ORAL,Gastroenterology,Proton Pump Inhibitor [EPC],Sandoz Inc,Sandoz Inc.,800-525-8747,To Be Discontinued,New,2025-10-09,,,,2025-10-09,2025-10-09,Discontinuation of the manufacture of the drug,2026-09-23T21:01:42.332205,A02BC01,
US,United States,FDA,"Metoprolol Succinate Tablet, Extended Release",METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,"Metoprolol Succinate Tablet, Extended Release",,,Tablet,"Metoprolol Succinate, Tablet, Extended Release, 25 mg (NDC 45963-709-96)",45963-709-96,"45963-709, 45963-676, 45963-677, 45963-678",ANDA204161,ORAL,Cardiovascular,,"Actavis Pharma, Inc.","Teva Pharmaceuticals USA, Inc.",800-545-8800,To Be Discontinued,New,2026-08-31,,,,2026-08-31,2026-08-31,A business decision was made to discontinue manufacture of the drug.,2026-09-23T21:01:42.332227,C07AB02,26182
US,United States,FDA,Ketorolac Tromethamine Injection,KETOROLAC TROMETHAMINE,KETOROLAC TROMETHAMINE,Ketorolac Tromethamine Injection,,,Injection,"Ketorolac Tromethamine, Injection, 15 mg/1 mL (NDC 0641-6041-25)",0641-6041-25,"0641-6041, 0641-6043, 0641-6042",ANDA075772,"INTRAMUSCULAR, INTRAVENOUS",Analgesia/Addiction,,Hikma Pharmaceuticals USA Inc.,"Hikma Pharmaceuticals USA, Inc.",800-631-2174,Current,Reverified,2018-06-06,Other,Other,,,2026-09-18,Estimated recovery: TBD,2026-09-23T21:01:42.332243,M01AB15,
US,United States,FDA,Dexmedetomidine Hydrochloride Injection,DEXMEDETOMIDINE HYDROCHLORIDE,DEXMEDETOMIDINE HYDROCHLORIDE,Dexmedetomidine Hydrochloride Injection,,,Injection,"Dexmedetomidine Hydrochloride, Injection, 4 ug/1 mL (NDC 42023-187-10)",42023-187-10,"42023-187, 42023-146, 42023-186",ANDA208266,INTRAVENOUS,Anesthesia,,"Par Health USA, LLC","Par Health, USA LLC",800-828-9393,Current,Reverified,2020-04-10,Other,Other,,,2026-09-17,Estimated recovery: TBD; Please check wholesalers for inventory,2026-09-23T21:01:42.332259,N05CM18,99791
US,United States,FDA,Bumetanide Injection,BUMETANIDE,BUMETANIDE,Bumetanide Injection,,,Injection,"Bumetanide, Injection, 1 mg/4 mL (0.25 mg/mL) (NDC 83301-0080-2)",83301-0080-2,"83301-0080, 83301-0081",ANDA219116,"INTRAMUSCULAR, INTRAVENOUS",Cardiovascular,Loop Diuretic [EPC],Mullan Pharmaceutical Inc.,Mullan Pharmaceutical Inc.,800-673-9839,Current,Reverified,2017-12-13,,,,,2026-09-16,,2026-09-23T21:01:42.332279,C03CA02,26360
US,United States,FDA,Sterile Water Irrigant,STERILE WATER,WATER,Sterile Water Irrigant,,,Irrigant,"Sterile Water, Irrigant, 100 mL/100 mL (NDC 0338-0004-02)",0338-0004-02,"0338-0004, 0338-0003",NDA017428,IRRIGATION,"Gastroenterology, Other, Pediatric",,Baxter Healthcare Corporation,Baxter Healthcare,888-229-0001,Current,Reverified,2023-04-28,,,,,2026-09-17,,2026-09-23T21:01:42.332301,,
US,United States,FDA,"Potassium Chloride Tablet, Extended Release",POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,"Potassium Chloride Tablet, Extended Release",,,Tablet,"Potassium Chloride, Tablet, Extended Release, 20 meq (NDC 62037-720-10)",62037-720-10,"62037-720, 62037-710",ANDA075604,ORAL,"Endocrinology/Metabolism, Gastroenterology",,"Actavis Pharma, Inc.","Teva Pharmaceuticals USA, Inc.",800-545-8800,To Be Discontinued,New,2025-11-21,,,,2025-11-21,2025-11-21,Discontinuation of the manufacture of the drug,2026-09-23T21:01:42.332327,A12BA01,2313
US,United States,FDA,Midazolam Hydrochloride Injection,MIDAZOLAM HYDROCHLORIDE,MIDAZOLAM HYDROCHLORIDE,Midazolam Hydrochloride Injection,,,Injection,"Midazolam Hydrochloride, Injection, 1 mg/1 mL (NDC 23155-600-41)",23155-600-41,23155-600,ANDA090696,"INTRAMUSCULAR, INTRAVENOUS","Anesthesia, Neurology",,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,"Avet Pharmaceuticals, Inc.",855-228-9470,Current,Revised,2020-04-02,Demand increase for the drug,Demand increase for the drug,,,2026-09-01,Estimated recovery: 9/25/2026,2026-09-23T21:01:42.332343,N05CD08,217697
