country_code,country_name,source,medicine_name,active_substance,strength,dosage_form,package_size,product_no,atc_code,shortage_start,estimated_end,last_updated,status,marketing_auth_holder,notes,scraped_at,prk
FI,Finland,FIMEA,Quetiapin Hexal 200 mg,Quetiapine fumarate,200 mg,depottabletti,120,147881,N05AH04,2024-10-27,2026-12-31,2026-01-08,shortage,Hexal A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-23T20:59:47.631503,50776
FI,Finland,FIMEA,Quetiapin Hexal 300 mg,Quetiapine fumarate,300 mg,depottabletti,120,502704,N05AH04,2025-01-01,2026-12-31,2026-01-08,shortage,Hexal A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-23T20:59:47.631632,60283
FI,Finland,FIMEA,Buprenorphine ratiopharm 5 mikrog/tunti,Buprenorphine,5 mikrog/tunti,depotlaastari,4,400508,N02AE01,2026-08-31,2026-10-09,2026-09-21,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.631765,89400
FI,Finland,FIMEA,Buprenorphine ratiopharm 5 mikrog/tunti,Buprenorphine,5 mikrog/tunti,depotlaastari,12,499175,N02AE01,2026-05-28,2026-11-30,2026-08-10,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.631896,89400
FI,Finland,FIMEA,Buprenorphine ratiopharm 10 mikrog/tunti,Buprenorphine,10 mikrog/tunti,depotlaastari,12,478508,N02AE01,2026-07-16,2026-10-09,2026-09-21,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.632023,89419
FI,Finland,FIMEA,Buprenorphine ratiopharm 20 mikrog/tunti,Buprenorphine,20 mikrog/tunti,depotlaastari,12,145613,N02AE01,2026-06-23,2026-10-15,2026-06-22,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.632155,89435
FI,Finland,FIMEA,Sitagliptin ratiopharm 50 mg,Sitagliptin malate,50 mg,"tabletti, kalvopäällysteinen",28,440266,A10BH01,2026-05-13,2026-09-30,2026-09-14,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.632283,218111
FI,Finland,FIMEA,Sitagliptin ratiopharm 50 mg,Sitagliptin malate,50 mg,"tabletti, kalvopäällysteinen",98,164602,A10BH01,2026-08-31,2026-09-30,2026-09-14,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Jyrki Hakkarainen, +358 40 5626437, jyrki.hakkarainen@tevapharm.com",2026-09-23T20:59:47.632411,218111
FI,Finland,FIMEA,Sitagliptin ratiopharm 25 mg,Sitagliptin malate,25 mg,"tabletti, kalvopäällysteinen",98,533796,A10BH01,2026-06-11,2026-10-30,2026-08-31,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.632535,218103
FI,Finland,FIMEA,Yargesa 100 mg,Miglustat,100 mg,"kapseli, kova",84 x 1,470327,A16AX06,2026-02-28,2026-10-01,2026-04-06,shortage,Piramal Critical Care B.V.,"Lisätietoja antaa: FrostPharma AB, +46 8243660, quality@frostpharma.com",2026-09-23T20:59:47.632662,69620
FI,Finland,FIMEA,Quetiapin Hexal 50 mg,Quetiapine fumarate,50 mg,depottabletti,120,404325,N05AH04,2025-12-18,2026-12-31,2026-01-08,shortage,Hexal A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-23T20:59:47.632774,84182
FI,Finland,FIMEA,Topimax 100 mg,Topiramate,100 mg,"tabletti, kalvopäällysteinen",60,018486,N03AX11,2026-08-31,2026-10-31,2026-08-18,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-23T20:59:47.632887,45764
FI,Finland,FIMEA,Oxycodone/Naloxone Krka 10 mg / 5 mg,Oxycodone hydrochloride Naloxone hydrochloride dihydrate,10 mg / 5 mg,depottabletti,28 x 1,426738,N02AA55,2023-09-26,2026-10-22,2026-06-11,shortage,KRKA d.d. Novo mesto,"Lisätietoja antaa: Krka Finland Oy, Krka Finland Oy, +358 20 754 5330, info.fi@krka.biz",2026-09-23T20:59:47.633007,88838
FI,Finland,FIMEA,Kaliumklorid Sandoz 750 mg,Potassium chloride,750 mg,depottabletti,250,386712,A12BA01,2025-06-04,2026-12-31,2026-08-25,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-23T20:59:47.633123,
FI,Finland,FIMEA,Kaliumklorid Sandoz 750 mg,Potassium chloride,750 mg,depottabletti,100,483055,A12BA01,2026-01-23,2026-12-31,2026-08-25,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-23T20:59:47.633237,
FI,Finland,FIMEA,Perindopril/Amlodipin Krka 4 mg / 5 mg,Amlodipine besylate Perindopril tert-butylamine,4 mg / 5 mg,tabletti,90,450802,C09BB04,2026-08-21,2026-10-08,2026-08-27,shortage,KRKA d.d. Novo mesto,"Lisätietoja antaa: KRKA Finland Oy, KRKA Finland Oy, +358207545330, info.fi@krka.biz",2026-09-23T20:59:47.633353,123544
FI,Finland,FIMEA,Furosemide Norameda 10 mg/ml,Furosemide,10 mg/ml,"injektio-/infuusioneste, liuos",10 x 2 ml,567782,C03CA01,2026-04-24,2028-05-24,2026-05-12,shortage,UAB Norameda,"Lisätietoja antaa: UAB Norameda, Rita Norvaišienė, +370 230 65 11, r.norvaisiene@norameda.com",2026-09-23T20:59:47.633466,1651
FI,Finland,FIMEA,Biquetan 300 mg,Quetiapine fumarate,300 mg,depottabletti,10,506056,N05AH04,2025-01-20,2026-09-30,2026-07-26,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.633579,60283
FI,Finland,FIMEA,Biquetan 300 mg,Quetiapine fumarate,300 mg,depottabletti,100,404709,N05AH04,2025-01-20,2026-09-30,2026-07-26,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.633699,60283
FI,Finland,FIMEA,Biquetan 50 mg,Quetiapine fumarate,50 mg,depottabletti,100,519544,N05AH04,2024-10-07,2026-09-30,2026-07-26,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.633812,84182
FI,Finland,FIMEA,Biquetan 200 mg,Quetiapine fumarate,200 mg,depottabletti,60,112930,N05AH04,2025-01-20,2026-09-30,2026-07-26,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.633925,50776
FI,Finland,FIMEA,Biquetan 200 mg,Quetiapine fumarate,200 mg,depottabletti,100,154547,N05AH04,2025-01-20,2026-09-30,2026-07-26,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.634041,50776
FI,Finland,FIMEA,Biquetan 400 mg,Quetiapine fumarate,400 mg,depottabletti,100,037398,N05AH04,2025-01-20,2026-10-16,2026-09-07,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.634154,84212
FI,Finland,FIMEA,Vardenafil Stada 20 mg,Vardenafil hydrochloride trihydrate,20 mg,"tabletti, kalvopäällysteinen",12,522398,G04BE09,2026-05-28,2026-10-31,2026-05-27,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.634267,69213
FI,Finland,FIMEA,Vardenafil Stada 20 mg,Vardenafil hydrochloride trihydrate,20 mg,"tabletti, kalvopäällysteinen",4,574614,G04BE09,2026-07-09,2026-10-31,2026-06-23,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.634382,69213
FI,Finland,FIMEA,Everolimus Stada 5 mg,Everolimus,5 mg,tabletti,30,064753,L01EG02,2026-05-25,2026-09-30,2026-07-28,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.634504,92568
FI,Finland,FIMEA,Yaz 0.02 mg / 3 mg,Drospirenone Ethinylestradiol betadex-clathrate,0.02 mg / 3 mg,"tabletti, kalvopäällysteinen",3 x 28,475804,G03AA12,2023-10-13,2026-10-30,2026-08-06,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358904391850, info@paranova.fi",2026-09-23T20:59:47.634612,105694
FI,Finland,FIMEA,Oxycodone/Naloxone Stada 5 mg / 2.5 mg,Oxycodone hydrochloride Naloxone hydrochloride dihydrate,5 mg / 2.5 mg,depottabletti,98 x 1,495426,N02AA55,2026-08-12,2026-10-31,2026-09-07,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.634725,90220
FI,Finland,FIMEA,Tadalafil Orion 5 mg,Tadalafil,5 mg,"tabletti, kalvopäällysteinen",84,544902,G04BE08,2026-07-13,2026-11-09,2026-07-02,shortage,Orion Corporation,"Lisätietoja antaa: ORION CORPORATION, Orion Call Center, +358104398256, tuoteinformaatio@orionpharma.com",2026-09-23T20:59:47.634838,86274
FI,Finland,FIMEA,Solifenacin Accord 10 mg,Solifenacin succinate,10 mg,"tabletti, kalvopäällysteinen",100,448424,G04BD08,2026-08-31,2026-09-30,2026-06-28,shortage,Accord Healthcare B.V.,"Lisätietoja antaa: Accord Healthcare Oy, Accord Healthcare Oy, +358 10 2314180, asiakaspalvelu@accord-healthcare.com",2026-09-23T20:59:47.634949,75345
FI,Finland,FIMEA,Tadalafil Sandoz 5 mg,Tadalafil,5 mg,"tabletti, kalvopäällysteinen",84 x 1,511983,G04BE08,2026-07-21,2026-12-31,2026-07-20,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-23T20:59:47.635066,86274
FI,Finland,FIMEA,Tadalafil Sandoz 5 mg,Tadalafil,5 mg,"tabletti, kalvopäällysteinen",28 x 1,462238,G04BE08,2026-06-04,2026-12-31,2026-06-03,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-23T20:59:47.635182,86274
FI,Finland,FIMEA,Tadalafil Sandoz 20 mg,Tadalafil,20 mg,"tabletti, kalvopäällysteinen",4 x 1,371028,G04BE08,2026-02-19,2026-12-31,2026-02-18,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-23T20:59:47.635293,68241
FI,Finland,FIMEA,Tadalafil Sandoz 20 mg,Tadalafil,20 mg,"tabletti, kalvopäällysteinen",12 x 1,084453,G04BE08,2025-12-18,2026-12-31,2026-01-22,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-23T20:59:47.635403,68241
FI,Finland,FIMEA,Alfuzosin Hydrochloride Orion 10 mg,Alfuzosin hydrochloride,10 mg,depottabletti,30,517356,G04CA01,2026-08-24,2026-10-05,2026-07-30,shortage,Orion Corporation,"Lisätietoja antaa: ORION CORPORATION, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-23T20:59:47.635520,
FI,Finland,FIMEA,Etoricoxib Krka 30 mg,Etoricoxib,30 mg,"tabletti, kalvopäällysteinen",100,163453,M01AH05,2026-10-05,2026-10-21,2026-09-03,shortage,KRKA d.d. Novo mesto,"Lisätietoja antaa: KRKA Finland Oy, KRKA Finland Oy, +358207545330, info.fi@krka.biz",2026-09-23T20:59:47.635633,85766
FI,Finland,FIMEA,Zelys 5 mg,Pimobendan,5 mg,purutabletti,96,473944,QC01CE90,2026-10-05,2026-11-30,2026-09-10,shortage,Ceva Santé Animale,"Lisätietoja antaa: Orion Oyj, Orion Call Center, +358104398250, tuoteinformaatio@orionpharma.com",2026-09-23T20:59:47.635750,
FI,Finland,FIMEA,Etoricoxib Ratiopharm 90 mg,Etoricoxib,90 mg,"tabletti, kalvopäällysteinen",7,190703,M01AH05,2026-03-20,2026-10-26,2026-08-24,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358 20 180 5900, infofinland@tevapharm.com",2026-09-23T20:59:47.635861,66753
FI,Finland,FIMEA,Etoricoxib Ratiopharm 90 mg,Etoricoxib,90 mg,"tabletti, kalvopäällysteinen",28,484953,M01AH05,2026-04-20,2026-10-26,2026-08-24,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.635972,66753
FI,Finland,FIMEA,Etoricoxib Ratiopharm 90 mg,Etoricoxib,90 mg,"tabletti, kalvopäällysteinen",100,469846,M01AH05,2026-03-20,2026-10-26,2026-08-24,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358 20 180 5900, infofinland@tevapharm.com",2026-09-23T20:59:47.636083,66753
FI,Finland,FIMEA,Etoricoxib Ratiopharm 60 mg,Etoricoxib,60 mg,"tabletti, kalvopäällysteinen",98,442399,M01AH05,2026-07-24,2026-10-26,2026-08-24,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358 20 180 5900, infofinland@tevapharm.com",2026-09-23T20:59:47.636198,66745
FI,Finland,FIMEA,Etoricoxib Ratiopharm 60 mg,Etoricoxib,60 mg,"tabletti, kalvopäällysteinen",28,040267,M01AH05,2026-09-09,2026-10-26,2026-09-08,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.636320,66745
FI,Finland,FIMEA,Etoricoxib Ratiopharm 30 mg,Etoricoxib,30 mg,"tabletti, kalvopäällysteinen",98,162769,M01AH05,2025-12-23,2026-10-26,2026-08-24,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358 20 180 5900, infofinland@tevapharm.com",2026-09-23T20:59:47.636657,85766
FI,Finland,FIMEA,Etoricoxib Ratiopharm 30 mg,Etoricoxib,30 mg,"tabletti, kalvopäällysteinen",28,075676,M01AH05,2025-11-25,2026-10-26,2026-08-24,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358 20 180 5900, infofinland@tevapharm.com",2026-09-23T20:59:47.636793,85766
FI,Finland,FIMEA,Duloxetine Accord 30 mg,Duloxetine hydrochloride,30 mg,"enterokapseli, kova",98,567561,N06AX21,2026-05-30,2027-01-29,2026-08-31,shortage,Accord Healthcare B.V.,"Lisätietoja antaa: Accord Healthcare Oy, Accord Healthcare Oy, +358 10 2314180, asiakaspalvelu@accord-healthcare.com",2026-09-23T20:59:47.636907,79057
FI,Finland,FIMEA,Duloxetine Accord 60 mg,Duloxetine hydrochloride,60 mg,"enterokapseli, kova",28,118477,N06AX21,2026-07-08,2026-12-31,2026-04-29,shortage,Accord Healthcare B.V.,"Lisätietoja antaa: Accord Healthcare Oy, Accord Healthcare Oy, +358 10 2314180, asiakaspalvelu@accord-healthcare.com",2026-09-23T20:59:47.637017,79065
FI,Finland,FIMEA,Duloxetin Stada 40 mg,Duloxetine hydrochloride,40 mg,"enterokapseli, kova",56,168806,N06AX21,2026-06-07,2027-06-18,2026-08-26,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.637126,
FI,Finland,FIMEA,Duloxetin Stada 20 mg,Duloxetine hydrochloride,20 mg,"enterokapseli, kova",28,507610,N06AX21,2026-08-24,2027-06-18,2026-09-07,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.637236,
FI,Finland,FIMEA,Calciumfolinat Fresenius Kabi 10 mg/ml,Calcium folinate,10 mg/ml,"injektio-/infuusioneste, liuos",10 x 50 ml,186942,V03AF03,2026-08-31,2026-09-30,2026-08-27,shortage,Fresenius Kabi Deutschland GmbH,"Lisätietoja antaa: Fresenius Kabi Ab, sivuliike Suomessa, Fresenius Kabi, +35894281550, asiakaspalvelu@fresenius-kabi.com",2026-09-23T20:59:47.637342,67350
FI,Finland,FIMEA,Rosuvastatin Actavis 15 mg,Rosuvastatin calcium,15 mg,"tabletti, kalvopäällysteinen",28,468292,C10AA07,2026-09-11,2026-10-05,2026-09-21,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358 20 180 5900, infofinland@tevapharm.com",2026-09-23T20:59:47.637449,
FI,Finland,FIMEA,Rosuvastatin Actavis 15 mg,Rosuvastatin calcium,15 mg,"tabletti, kalvopäällysteinen",98,521812,C10AA07,2026-09-03,2026-10-05,2026-09-21,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.637559,
FI,Finland,FIMEA,Tanonalla 5 mg / 2.5 mg,Oxycodone hydrochloride Naloxone hydrochloride dihydrate,5 mg / 2.5 mg,depottabletti,100 x 1,558576,N02AA55,2026-09-17,2026-09-30,2026-09-16,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-23T20:59:47.637665,90220
FI,Finland,FIMEA,Tanonalla 10 mg / 5 mg,Oxycodone hydrochloride Naloxone hydrochloride dihydrate,10 mg / 5 mg,depottabletti,30 x 1,057291,N02AA55,2026-07-09,2026-09-30,2026-09-09,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Ropi Heikkilä, +358 50 592 5710, ropi.heikkila@sandoz.com",2026-09-23T20:59:47.637773,88838
FI,Finland,FIMEA,Tanonalla 40 mg / 20 mg,Oxycodone hydrochloride Naloxone hydrochloride dihydrate,40 mg / 20 mg,depottabletti,30 x 1,450131,N02AA55,2026-08-26,2026-09-30,2026-08-25,shortage,Sandoz A/S,"Lisätietoja antaa: Sandoz A/S, Sandoz A/S, +358 10 6133415, drug.shortage_nordic@sandoz.com",2026-09-23T20:59:47.637881,90239
FI,Finland,FIMEA,Moxifloxacin Orion 400 mg,Moxifloxacin hydrochloride,400 mg,"tabletti, kalvopäällysteinen",10,499390,J01MA14,2026-08-03,2026-12-14,2026-07-09,shortage,Orion Corporation,"Lisätietoja antaa: ORION CORPORATION, Orion Call Center, +358104398256, tuoteinformaatio@orionpharma.com",2026-09-23T20:59:47.637991,67628
FI,Finland,FIMEA,Fulvestrant ratiopharm 250 mg,Fulvestrant,250 mg,"injektioneste, liuos, esitäytetty ruisku",2 x 5 ml,568748,L02BA03,2026-08-11,2027-02-01,2026-08-03,shortage,Teva B.V.,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.638095,74934
FI,Finland,FIMEA,Ezetimibe ratiopharm 10 mg,Ezetimibe,10 mg,tabletti,28,061749,C10AX09,2025-08-18,2027-12-31,2025-10-12,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, info@tevafinland.fi",2026-09-23T20:59:47.638203,70645
FI,Finland,FIMEA,Ezetimibe ratiopharm 10 mg,Ezetimibe,10 mg,tabletti,98,539990,C10AX09,2025-08-05,2027-12-31,2025-10-12,shortage,ratiopharm GmbH,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, info@tevafinland.fi",2026-09-23T20:59:47.638310,70645
FI,Finland,FIMEA,Tenofovir disoproxil STADA 245 mg,Tenofovir disoproxil succinate,245 mg,"tabletti, kalvopäällysteinen",30,095495,J05AF07,2026-08-24,2026-09-30,2026-08-23,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.638418,146633
FI,Finland,FIMEA,Buprenorphine Stada 5 mikrog/tunti,Buprenorphine,5 mikrog/tunti,depotlaastari,12,488616,N02AE01,2026-09-09,2027-01-31,2026-09-10,shortage,STADA Arzneimittel AG,"Lisätietoja antaa: STADA Nordic ApS, Finnish branch, Hanna Kallio, +358405570209, hanna.kallio@stada.fi",2026-09-23T20:59:47.638525,89400
FI,Finland,FIMEA,Olmesartan medoxomil Krka 40 mg,Olmesartan medoxomil,40 mg,"tabletti, kalvopäällysteinen",98,060992,C09CA08,2026-06-30,2026-10-15,2026-08-27,shortage,KRKA d.d. Novo mesto,"Lisätietoja antaa: KRKA Finland Oy, KRKA Finland Oy, +358207545330, info.fi@krka.biz",2026-09-23T20:59:47.638630,70211
FI,Finland,FIMEA,Prograf 5 mg,Tacrolimus monohydrate,5 mg,"kapseli, kova",50,092707,L04AD02,2026-03-23,2026-10-31,2026-08-05,shortage,Abacus Medicine A/S,"Lisätietoja antaa: Abacus Medicine A/S, Henna Luoto, +358 9 42721465, henna.luoto@abacusmedicine.com",2026-09-23T20:59:47.638735,92398
FI,Finland,FIMEA,MAVENCLAD 10 mg,Cladribine,10 mg,tabletti,4,515937,L04AA40,2026-08-06,2026-09-30,2026-09-07,shortage,Paranova Oy,"Lisätietoja antaa: Paranova Oy, Sebastian Saari, +358 9 4391 850, info@paranova.fi",2026-09-23T20:59:47.638839,149330
FI,Finland,FIMEA,Icatibant ratiopharm 30 mg,Icatibant acetate,30 mg,"injektioneste, liuos, esitäytetty ruisku",3 ml,403095,B06AC02,2026-06-30,2027-01-29,2026-09-07,shortage,Teva B.V.,"Lisätietoja antaa: Teva Finland Oy, Teva Finland Oy, +358201805900, infofinland@tevapharm.com",2026-09-23T20:59:47.638946,128635
FI,Finland,FIMEA,Fycompa 4 mg,Perampanel,4 mg,"tabletti, kalvopäällysteinen",28,123725,N03AX22,2026-09-08,2026-10-30,2026-09-07,shortage,Orifarm Oy,"Lisätietoja antaa: Orifarm Oy, Janne Liimatta, +358 9 7746 870, suomi@orifarm.com",2026-09-23T20:59:47.639049,115479
