country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,pharma_code,act_reference,ium_code,status,scraped_at,atc_code,prk
CO,Colombia,INVIMA,ACTH (ADRENOCORTICOTROPINA),ACTH (ADRENOCORTICOTROPINA),25UI/1mL,,Solución inyectable,9.1.5.0.N10,Acta No. 27 de 2005,1C101202,vital_unavailable,2026-09-23T20:51:23.578083,H01AC01,
CO,Colombia,INVIMA,ALCOHOL ETILICO,ALCOHOL ETILICO,0.99,,Solución inyectable,20.0.0.0.N10,Acta No. 02 de 2021,,vital_unavailable,2026-09-23T20:51:23.578105,,
CO,Colombia,INVIMA,AMILO NITRITO,AMILO NITRITO,5mg/1ml,,Solución para inhalar,7.1.0.0.N10,Acta No. 10 de 2004,1A102337,vital_unavailable,2026-09-23T20:51:23.578124,,
CO,Colombia,INVIMA,AMIODARONA CLORHIDRATO,AMIODARONA CLORHIDRATO,200mg/1 U,,Tableta,7.2.0.0.N10,Acta No. 04 de 2019 SEM,1A102798,vital_unavailable,2026-09-23T20:51:23.578142,C01BD01,1554
CO,Colombia,INVIMA,AMIODARONA CLORHIDRATO,AMIODARONA CLORHIDRATO,150mg / Ampolla (3mL),,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2021 SEM,1A102798,vital_unavailable,2026-09-23T20:51:23.578160,C01BD01,25119
CO,Colombia,INVIMA,AMIODARONA CLORHIDRATO,AMIODARONA CLORHIDRATO,50mg/ mL,,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2021 SEM,1A102798,vital_unavailable,2026-09-23T20:51:23.578178,C01BD01,25119
CO,Colombia,INVIMA,ANTICUERPOS ANTIDIGOXINA,ANTICUERPOS ANTIDIGOXINA,80mg/1U,,Polvo para reconstituir,20.0.0.0.N10,Acta No. 37 de 2004,1A102338,vital_unavailable,2026-09-23T20:51:23.578196,V03AB24,
CO,Colombia,INVIMA,ANTITOXINA BOTULÍNICA,ANTITOXINA BOTULÍNICA,,,,18.1.2.0.N10,Acta No. 37 de 2004,,vital_unavailable,2026-09-23T20:51:23.578212,,
CO,Colombia,INVIMA,ASFOTASA ALFA,ASFOTASA ALFA,40mg/1mL,,Solución inyectable,8.2.7.0.N180,"Acta No. 09 de 2018 SEM
Acta No. 03 de 2018 SEMNNIMB",1A100010,vital_unavailable,2026-09-23T20:51:23.578230,A16AB01,
CO,Colombia,INVIMA,ASFOTASA ALFA,ASFOTASA ALFA,100mg/1mL,,Solución inyectable,8.2.7.0.N180,"Acta No. 09 de 2018 SEM
Acta No. 03 de 2018 SEMNNIMB",1A100011,vital_unavailable,2026-09-23T20:51:23.578248,A16AB01,
CO,Colombia,INVIMA,ASPARAGINASA ERWINIANA (asparginasa de Erwinia chrysanthemi),ASPARAGINASA ERWINIANA (asparginasa de Erwinia chrysanthemi),10000U/1U,,Liofilizado para solución inyectable,6.0.0.0.N10,Acta No. 04 de 2016,1A100555,vital_unavailable,2026-09-23T20:51:23.578266,L01XX02,51519
CO,Colombia,INVIMA,ATOMOXETINA,ATOMOXETINA,25mg,,Cápsula,19.18.0.0.N90,Acta No.12 de 2025 SEMPB Cuarta parte,,vital_unavailable,2026-09-23T20:51:23.578284,N06BA09,76724
CO,Colombia,INVIMA,ATOMOXETINA,ATOMOXETINA,40mg,,Cápsula,19.18.0.0.N90,Acta No.12 de 2025 SEMPB Cuarta parte,,vital_unavailable,2026-09-23T20:51:23.578301,N06BA09,76732
CO,Colombia,INVIMA,ATOMOXETINA,ATOMOXETINA,60mg,,Cápsula,19.18.0.0.N90,Acta No.12 de 2025 SEMPB Cuarta parte,,vital_unavailable,2026-09-23T20:51:23.578318,N06BA09,76740
CO,Colombia,INVIMA,AZUL DE METILENO,AZUL DE METILENO,1% (10 mg / mL),,Solución inyectable,20.0.0.0.N10,Acta No. 01 de 2024 SEM Décima parte,,vital_unavailable,2026-09-23T20:51:23.578335,V03AB01,
CO,Colombia,INVIMA,BACLOFENO,BACLOFENO,60µg/1mL,,Solución inyectable,15.2.0.0.N10,Acta No. 13 de 2010,1B102399,vital_unavailable,2026-09-23T20:51:23.578354,M03BX01,
CO,Colombia,INVIMA,BEDAQUILINA,BEDAQUILINA,100mg/1U,,Tableta,4.1.1.4.N10.,Acta No. 03 de 2017 Segunda Parte,1B101391,vital_unavailable,2026-09-23T20:51:23.578371,J04AK05,115371
CO,Colombia,INVIMA,BENZNIDAZOL,BENZNIDAZOL,100mg/1U,,Tableta,4.2.6.0.N10,Acta No. 25 de 2012,1B101272,vital_unavailable,2026-09-23T20:51:23.578389,P01CA02,
CO,Colombia,INVIMA,BETANECOL,BETANECOL,5mg/1U,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B102341,vital_unavailable,2026-09-23T20:51:23.578406,N07AB02,
CO,Colombia,INVIMA,BETANECOL,BETANECOL,10mg/1U,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B101406,vital_unavailable,2026-09-23T20:51:23.578424,N07AB02,
CO,Colombia,INVIMA,BETANECOL,BETANECOL,25mg/1U,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B100110,vital_unavailable,2026-09-23T20:51:23.578442,N07AB02,
CO,Colombia,INVIMA,BETANECOL,BETANECOL,50mg/1U,,Tableta,19.18.0.0.N140,Acta No. 25 de 2005,1B102340,vital_unavailable,2026-09-23T20:51:23.578459,N07AB02,
CO,Colombia,INVIMA,BICARBONATO DE SODIO,BICARBONATO DE SODIO,1Meq/mL,,Solución,10.3.0.0.N10,Acta No. 22 de 2019 SEM,1S101587,vital_unavailable,2026-09-23T20:51:23.578477,A12BA01,
CO,Colombia,INVIMA,Bothrops SP - VENENO DESHIDRATADO 780 DL50 + Crotalus SP VENENO DESHIDRATADO 220 DL50 + Lachessis SP VENENO DESHIDRATADO 200 DL50 (FAB (F(AB)2 FAB) AL 85% COMPONENTES DE BAJO PESO MOLECULAR AL 15%),Bothrops SP - VENENO DESHIDRATADO 780 DL50 + Crotalus SP VENENO DESHIDRATADO 220 DL50 + Lachessis SP VENENO DESHIDRATADO 200 DL50 (FAB (F(AB)2 FAB) AL 85% COMPONENTES DE BAJO PESO MOLECULAR AL 15%),30 mg + 15 mg + 7 mg / Vial (20 mL),,Polvo Liofilizado para reconstituir a solución inyectable,18.1.2.0.N10,Acta No. 04 de 2025 SEM Segunda parte,,vital_unavailable,2026-09-23T20:51:23.578494,,
CO,Colombia,INVIMA,Bothrops atrox + Lachesis muta + Bothrops asper + Crotalus durissus - INMUNOGLOBULINAS DE ORIGEN EQUINO (IGG) CAPACES DE NEUTRALIZAR COMO MÍNIMO,Bothrops atrox + Lachesis muta + Bothrops asper + Crotalus durissus - INMUNOGLOBULINAS DE ORIGEN EQUINO (IGG) CAPACES DE NEUTRALIZAR COMO MÍNIMO,25 mg + 10 mg + 25 mg + 5 mg / Vial,,Polvo Liofilizado para reconstituir a solución inyectable,18.1.2.0.N10,Acta No. 04 de 2025 SEM Segunda parte,,vital_unavailable,2026-09-23T20:51:23.578512,,
CO,Colombia,INVIMA,BRETILIO TOSILATO,BRETILIO TOSILATO,2mg/1ml,,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2004,1T102342,vital_unavailable,2026-09-23T20:51:23.578530,C01BD02,
CO,Colombia,INVIMA,BRETILIO TOSILATO,BRETILIO TOSILATO,4mg/1ml,,Solución inyectable,7.2.0.0.N10,Acta No. 10 de 2004,1T102343,vital_unavailable,2026-09-23T20:51:23.578547,C01BD02,
CO,Colombia,INVIMA,BROMOCRIPTINA,BROMOCRIPTINA,"2,5mg/1U",,Tableta,"9.2.3.0.N10
19.13.0.0.N10",Acta No. 14 de 2019 SEM,1B103024,vital_unavailable,2026-09-23T20:51:23.578565,N04BC01,
CO,Colombia,INVIMA,BROMOCRIPTINA,BROMOCRIPTINA,"5,0mg/1U",,Tableta,"9.2.3.0.N10
19.13.0.0.N10",Acta No. 14 de 2019 SEM,1B103025,vital_unavailable,2026-09-23T20:51:23.578583,N04BC01,
CO,Colombia,INVIMA,BUPIVACAINA (L) CLORHIDRATO ANHIDRA + GLUCOSA ANHIDRA,BUPIVACAINA (L) CLORHIDRATO ANHIDRA + GLUCOSA ANHIDRA,"7,5mg + 72,7mg/1mL",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Segunda Parte,2B102505,vital_unavailable,2026-09-23T20:51:23.578601,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO + EPINEFRINA,BUPIVACAINA CLORHIDRATO + EPINEFRINA,5mg + 5μg/1mL,,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Segunda Parte,2B102506,vital_unavailable,2026-09-23T20:51:23.578618,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO + EPINEFRINA,BUPIVACAINA CLORHIDRATO + EPINEFRINA,"7,5mg + 5μg/1mL",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Segunda Parte,2B102507,vital_unavailable,2026-09-23T20:51:23.578636,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO + EPINEFRINA BITARTRATO,BUPIVACAINA CLORHIDRATO + EPINEFRINA BITARTRATO,"500mg + 0,5 mg/100 mL",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Segunda Parte,2B102506,vital_unavailable,2026-09-23T20:51:23.578654,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO + GLUCOSA,BUPIVACAINA CLORHIDRATO + GLUCOSA,5mg + 80mg/1mL,,Solución inyectable,19.6.0.0.N20,Acta No. 22  de 2018 SEM,2B102444,vital_unavailable,2026-09-23T20:51:23.578672,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO ANHIDRA + DEXTROSA MONOHIDRATO,BUPIVACAINA CLORHIDRATO ANHIDRA + DEXTROSA MONOHIDRATO,5mg + 80mg/1mL,,Solución inyectable,19.6.0.0.N20,Acta No. 22  de 2018 SEM,2B102428,vital_unavailable,2026-09-23T20:51:23.578689,,
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO MONOHIDRATO,BUPIVACAINA CLORHIDRATO MONOHIDRATO,"2,5mg /1mL (0,25%)",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Tercera Parte,1B102508,vital_unavailable,2026-09-23T20:51:23.578707,N01BB01,1775
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO MONOHIDRATO,BUPIVACAINA CLORHIDRATO MONOHIDRATO,"5mg/mL (0,5%)",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Tercera Parte,1B102450,vital_unavailable,2026-09-23T20:51:23.578724,N01BB01,6122
CO,Colombia,INVIMA,BUPIVACAINA CLORHIDRATO MONOHIDRATO,BUPIVACAINA CLORHIDRATO MONOHIDRATO,"7,5mg/mL 0,75%",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Tercera Parte,1B102474,vital_unavailable,2026-09-23T20:51:23.578742,N01BB01,
CO,Colombia,INVIMA,BUPIVACAÍNA LEVÓGIRA CLORHIDRATO ANHIDRA + EPINEFRINA BITARTRATO,BUPIVACAÍNA LEVÓGIRA CLORHIDRATO ANHIDRA + EPINEFRINA BITARTRATO,"0,75% + 5μg / 1mL",,Solución inyectable,19.6.0.0.N20,Acta No. 02 de 2018 SEM Segunda Parte,2B102507,vital_unavailable,2026-09-23T20:51:23.578760,,
CO,Colombia,INVIMA,BUSULFAN,BUSULFAN,2mg/1U,,Tableta,6.0.0.0.N10,Acta No. 52 de 2012,1B102344,vital_unavailable,2026-09-23T20:51:23.578778,L01AB01,1872
CO,Colombia,INVIMA,CALCIO CLORURO,CALCIO CLORURO,100mg/1ml,,Solución inyectable,10.3.0.0.N10,Acta No. 03 de 2011,1C102345,vital_unavailable,2026-09-23T20:51:23.578797,B05BB01,
CO,Colombia,INVIMA,CAPREOMICINA,CAPREOMICINA,1g/1U,,Polvo para reconstituir a solución inyectable,4.1.1.4.N10,"Acta No. 03 de 2008
Acta No. 11 de 2013",1C101210,vital_unavailable,2026-09-23T20:51:23.578815,J04AB30,
CO,Colombia,INVIMA,CARBAMAZEPINA,CARBAMAZEPINA,200mg,,Tableta de liberación prolongada,19.9.0.0.N10,Acta No. 08 de 2026 SEMPB Segunda parte,,vital_unavailable,2026-09-23T20:51:23.578832,N03AF01,25976
CO,Colombia,INVIMA,CARBAMAZEPINA,CARBAMAZEPINA,400mg,,Tableta de liberación prolongada,19.9.0.0.N10,Acta No. 08 de 2026 SEMPB Segunda parte,,vital_unavailable,2026-09-23T20:51:23.578849,N03AF01,25984
CO,Colombia,INVIMA,CARBON ACTIVADO,CARBON ACTIVADO,20g/100 mL,,Suspensión oral,20.0.0.0.N10,Acta No. 01 de 2024 SEM Décima parte,,vital_unavailable,2026-09-23T20:51:23.578866,A06AD01,
CO,Colombia,INVIMA,CERLIPONASA,CERLIPONASA,30mg/1mL,,Solución para infusión,8.2.7.0.N210,Acta No. 14 de 2019 SEM,1C101987,vital_unavailable,2026-09-23T20:51:23.578884,A16AB02,58319
CO,Colombia,INVIMA,CICLOFOSFAMIDA,CICLOFOSFAMIDA,200 mg/vial,,Polvo para reconstituir a solución inyectable,6.0.0.0.N10,Acta No. 07 de 2026 SEMPB Primera parte,,vital_unavailable,2026-09-23T20:51:23.578901,L01AA01,
CO,Colombia,INVIMA,CICLOFOSFAMIDA,CICLOFOSFAMIDA,500 mg/vial,,Polvo para reconstituir a solución inyectable,6.0.0.0.N10,Acta No. 07 de 2026 SEMPB Primera parte,,vital_unavailable,2026-09-23T20:51:23.578919,L01AA01,5045
CO,Colombia,INVIMA,CICLOFOSFAMIDA,CICLOFOSFAMIDA,1g/vial,,Polvo para reconstituir a solución inyectable,6.0.0.0.N10,Acta No. 07 de 2026 SEMPB Primera parte,,vital_unavailable,2026-09-23T20:51:23.578937,L01AA01,5053
CO,Colombia,INVIMA,CICLOSERINA,CICLOSERINA,250mg,,Cápsula,4.1.1.4.N10.,Acta No. 01 de 2024 SEM Séptima parte,,vital_unavailable,2026-09-23T20:51:23.578954,J04AB01,
CO,Colombia,INVIMA,CITARABINA,CITARABINA,500mg/ vial (10mL),,Polvo Liofilizado para reconstituir a solución inyectable,6.0.0.0.N10,Acta No. 10 de 2021 SEM,1C1004121000,vital_unavailable,2026-09-23T20:51:23.578973,L01BC01,
CO,Colombia,INVIMA,CITARABINA,CITARABINA,100mg/ 5mL,,Solución inyectable,6.0.0.0.N10,Acta No. 10 de 2021 SEM,1C1004121000,vital_unavailable,2026-09-23T20:51:23.578991,L01BC01,49328
CO,Colombia,INVIMA,CITARABINA,CITARABINA,100mg/ vial (10mL),,Polvo Liofilizado para reconstituir a solución inyectable,6.0.0.0.N10,Acta No. 3 de 2022 SEM,1C1004121000,vital_unavailable,2026-09-23T20:51:23.579009,L01BC01,
CO,Colombia,INVIMA,CITARABINA,CITARABINA,500mg/ 5mL,,Solución inyectable,6.0.0.0.N10,Acta No. 10 de 2021 SEM,1C1004121000,vital_unavailable,2026-09-23T20:51:23.579028,L01BC01,104477
CO,Colombia,INVIMA,CITARABINA,CITARABINA,500mg/ 10mL,,Solución inyectable,6.0.0.0.N10,Acta No. 10 de 2021 SEM,1C1004121000,vital_unavailable,2026-09-23T20:51:23.579045,L01BC01,
CO,Colombia,INVIMA,CITARABINA,CITARABINA,1000mg/ 10mL,,Solución inyectable,6.0.0.0.N10,Acta No. 10 de 2021 SEM,1C1004121000,vital_unavailable,2026-09-23T20:51:23.579063,L01BC01,104485
CO,Colombia,INVIMA,CITARABINA,CITARABINA,1000mg/ 20mL,,Solución inyectable,6.0.0.0.N10,Acta No. 10 de 2021 SEM,1C1004121000,vital_unavailable,2026-09-23T20:51:23.579080,L01BC01,
CO,Colombia,INVIMA,CITARABINA,CITARABINA,1g/ vial (20mL),,Polvo Liofilizado para reconstituir a solución inyectable,6.0.0.0.N10,Acta No. 3 de 2022 SEM,1C1004121000,vital_unavailable,2026-09-23T20:51:23.579098,L01BC01,
CO,Colombia,INVIMA,CITRATO DE CLOMIFENO,CITRATO DE CLOMIFENO,50mg,,Tableta,9.1.6.0.N10,Acta No. 04 de 2023 SEM Cuarta parte,,vital_unavailable,2026-09-23T20:51:23.579114,G03GB02,1538
CO,Colombia,INVIMA,CLADRIBINA,CLADRIBINA,2mg/ml,,Solución inyectable,6.0.0.0.N10,Acta No. 04 de 2023 SEM Octava Parte,,vital_unavailable,2026-09-23T20:51:23.579132,L01BB04,86525
CO,Colombia,INVIMA,CLEMASTINA,CLEMASTINA,2 mg / Ampolla (2 mL),,Solución inyectable,3.0.0.0.N10,Acta No. 10 de 2025 SEM Tercera parte,,vital_unavailable,2026-09-23T20:51:23.579149,D04AA14,
CO,Colombia,INVIMA,CLOBAZAM,CLOBAZAM,10mg,,Tableta,19.9.0.0.N10,Acta No. 01 de 2024 SEM Séptima parte,,vital_unavailable,2026-09-23T20:51:23.579167,N05BA09,17116
CO,Colombia,INVIMA,CLOBAZAM,CLOBAZAM,20mg,,Tableta,19.9.0.0.N10,Acta No. 01 de 2024 SEM Octava parte,,vital_unavailable,2026-09-23T20:51:23.579185,N05BA09,17124
CO,Colombia,INVIMA,CLOFAZIMINA,CLOFAZIMINA,100mg/1U,,Cápsula,"4.1.1.3.N10
4.1.1.4.N10",Acta No. 07 de 2017,1C100287,vital_unavailable,2026-09-23T20:51:23.579202,J04BA01,1627
CO,Colombia,INVIMA,CLORAMBUCILO,CLORAMBUCILO,2mg/1U,,Tableta,10.3.0.0.N10,Acta No. 52 de 2012 SEMPB Primera parte,1C102347,vital_unavailable,2026-09-23T20:51:23.579220,L01AA02,1694
CO,Colombia,INVIMA,CLORMETINA,CLORMETINA,160µg/g,,Gel,6.0.0.0.N10.,Acta No. 09 de 2022 SEM,1C1029821000,vital_unavailable,2026-09-23T20:51:23.579237,L01AA05,148490
CO,Colombia,INVIMA,CLOROQUINA,CLOROQUINA,100mg/1U,,Tableta,"4.2.1.0.N10
4.2.3.0.N10",Acta No. 04 de 2020 SEM,,vital_unavailable,2026-09-23T20:51:23.579254,P01BA01,85782
CO,Colombia,INVIMA,CLOROQUINA,CLOROQUINA,150mg/1U,,Tableta,"4.2.1.0.N10
4.2.3.0.N10
5.2.0.0.N10",Acta No. 04 de 2020 SEM,1C104358,vital_unavailable,2026-09-23T20:51:23.579272,P01BA01,85782
CO,Colombia,INVIMA,CLORURO DE POTASIO,CLORURO DE POTASIO,"0,1meq / mL",,Solución inyectable,10.3.0.0.N10,Acta No. 19 de 2021 SEM,1P101218,vital_unavailable,2026-09-23T20:51:23.579289,A12BA01,
CO,Colombia,INVIMA,CLORURO DE POTASIO,CLORURO DE POTASIO,"0,2meq/ mL",,Solución inyectable,10.3.0.0.N10,Acta No. 19 de 2021 SEM,,vital_unavailable,2026-09-23T20:51:23.579308,A12BA01,
CO,Colombia,INVIMA,CLORURO DE POTASIO,CLORURO DE POTASIO,"0,3meq/ mL",,Solución inyectable,10.3.0.0.N10,Acta No. 19 de 2021 SEM,,vital_unavailable,2026-09-23T20:51:23.579325,A12BA01,
CO,Colombia,INVIMA,CLORURO DE POTASIO,CLORURO DE POTASIO,"0,4meq/ mL",,Solución inyectable,10.3.0.0.N10,Acta No. 19 de 2021 SEM,,vital_unavailable,2026-09-23T20:51:23.579341,A12BA01,
CO,Colombia,INVIMA,CLORURO DE POTASIO,CLORURO DE POTASIO,2meq/ mL,,Solución inyectable,10.3.0.0.N10,Acta No. 19 de 2021 SEM,,vital_unavailable,2026-09-23T20:51:23.579358,A12BA01,
CO,Colombia,INVIMA,CLORURO DE POTASIO,CLORURO DE POTASIO,"10% (1,341 meq/
mL)",,Solución inyectable,10.3.0.0.N10,Acta No. 19 de 2021 SEM,,vital_unavailable,2026-09-23T20:51:23.579375,A12BA01,
CO,Colombia,INVIMA,COBRE SULFATO,COBRE SULFATO,"0,05mg/1ml",,Solución,21.2.2.0.N10,Acta No. 03 de 2008,1C102349,vital_unavailable,2026-09-23T20:51:23.579392,A12CC01,
CO,Colombia,INVIMA,Crotalus - INMUNOGLOBULINAS ESPECIFICAS NEUTRALIZANTES DEL VENENO DEL GENERO (MINIMO) + Bothrops - INMUNOGLOBULINAS ESPECIFICAS NEUTRALIZANTES DEL VENENO DEL GENERO MINIMO),Crotalus - INMUNOGLOBULINAS ESPECIFICAS NEUTRALIZANTES DEL VENENO DEL GENERO (MINIMO) + Bothrops - INMUNOGLOBULINAS ESPECIFICAS NEUTRALIZANTES DEL VENENO DEL GENERO MINIMO),10 mg + 70 mg / Vial (10 mL),,Solución inyectable,18.1.2.0.N10,Acta No. 04 de 2025 SEM Segunda parte,,vital_unavailable,2026-09-23T20:51:23.579409,,
CO,Colombia,INVIMA,Crotalus + Bothrops INMUNOGLOBULINA DE ORIGEN EQUINO QUE NEUTRALIZA EL VENENO DE LA SERPIENTES DE LOS GENEROS: (SUERO ANTIOFÍDICO POLIVALENTE),Crotalus + Bothrops INMUNOGLOBULINA DE ORIGEN EQUINO QUE NEUTRALIZA EL VENENO DE LA SERPIENTES DE LOS GENEROS: (SUERO ANTIOFÍDICO POLIVALENTE),100 mg + 700 mg / 100 mL,,Solución inyectable,18.1.2.0.N10,Acta No. 04 de 2025 SEM Segunda parte,,vital_unavailable,2026-09-23T20:51:23.579427,,
CO,Colombia,INVIMA,DANTROLENO SÓDICO,DANTROLENO SÓDICO,20mg/1U,,Polvo para reconstituir,15.2.0.0.N10,Acta No. 10 de 2004,1D102350,vital_unavailable,2026-09-23T20:51:23.579444,M03CA01,29335
CO,Colombia,INVIMA,DANTROLENO SÓDICO,DANTROLENO SÓDICO,50mg/1U,,Cápsula,15.2.0.0.N10,Acta No. 10 de 2004,1D102351,vital_unavailable,2026-09-23T20:51:23.579462,M03CA01,
CO,Colombia,INVIMA,DAUNORUBICINA LIPOSOMAL,DAUNORUBICINA LIPOSOMAL,50mg / Vial,,Solución inyectable,6.0.0.0.N10,Acta No. 09 de 2022 SEM,,vital_unavailable,2026-09-23T20:51:23.579479,L01DB02,
CO,Colombia,INVIMA,DESMOPRESINA,DESMOPRESINA,120mcg,,Tableta orodispersable,9.1.13.0.N10,Acta No. 21 de 2021 SEM,,vital_unavailable,2026-09-23T20:51:23.579497,H01BA02,225436
CO,Colombia,INVIMA,DESMOPRESINA,DESMOPRESINA,"0,1mg/ml equivalente a 89μg/ml",,Solución nasal,9.1.13.0.N10,Acta No. 21 de 2021 SEM,,vital_unavailable,2026-09-23T20:51:23.579517,H01BA02,
CO,Colombia,INVIMA,DESMOPRESINA,DESMOPRESINA,"0,4mg",,Solución sublingual,9.1.13.0.N10,Acta No. 21 de 2021 SEM,,vital_unavailable,2026-09-23T20:51:23.579533,H01BA02,
CO,Colombia,INVIMA,DIETIL ESTIL BESTROL,DIETIL ESTIL BESTROL,1mg/1U,,Tableta,6.0.0.0.N10,Acta No. 39 de 2010,1D100009,vital_unavailable,2026-09-23T20:51:23.579551,G03CB01,
CO,Colombia,INVIMA,DIFENHIDRAMINA,DIFENHIDRAMINA,50mg/1mL,,Solución inyectable,3.0.0.0.N10,Acta No. 16 de 2012,1D102352,vital_unavailable,2026-09-23T20:51:23.579569,R06AA02,
CO,Colombia,INVIMA,DIFENHIDRAMINA,DIFENHIDRAMINA,10mg/1mL,,Solución inyectable,3.0.0.0.N10,Acta No. 10 de 2025 SEM Tercera parte,,vital_unavailable,2026-09-23T20:51:23.579585,R06AA02,
CO,Colombia,INVIMA,DIMERCAPROL,DIMERCAPROL,100mg/1ml,,Solución inyectable,20.0.0.0.N10,Acta No. 37 de 2004,1D102353,vital_unavailable,2026-09-23T20:51:23.579603,V03AB09,
CO,Colombia,INVIMA,DIMETILSULFÓXIDO,DIMETILSULFÓXIDO,50mL/1U,,Solución preservación de órganos,10.7.0.0.N30,Acta No. 55 de 2012,1D102354,vital_unavailable,2026-09-23T20:51:23.579620,M02AA03,
CO,Colombia,INVIMA,EDROFONIO CLORURO,EDROFONIO CLORURO,10mg/1mL,,Solución inyectable,1.2.0.0.N20,Acta No. 06 de 2006,1C102348,vital_unavailable,2026-09-23T20:51:23.579638,N07AA01,53694
CO,Colombia,INVIMA,EPINEFRINA,EPINEFRINA,"1,0mg/1mL",,"Solución inyectable
(Autoinyectable)",7.7.0.0.N10,Acta No. 22 de 2016,1E100568,vital_unavailable,2026-09-23T20:51:23.579656,C01CA24,145262
CO,Colombia,INVIMA,EPINEFRINA,EPINEFRINA,"0,5mg/1mL",,"Solución inyectable
(Autoinyectable)",7.7.0.0.N10,Acta No. 22 de 2016,1E102355,vital_unavailable,2026-09-23T20:51:23.579674,C01CA24,145289
CO,Colombia,INVIMA,EPINEFRINA,EPINEFRINA,1mg/1mL,,Solución inyectable,"16.2.0.0.N10, 7.4.0.0.N10 y 7.7.0.0.N10",Acta No. 13  de 2018 SEM,1E100568,vital_unavailable,2026-09-23T20:51:23.579691,C01CA24,145424
