country_code,country_name,source,medicine_name,active_substance,strength,package_size,dosage_form,registration_number,atc_code,company_name,manufacturer,disruption_type,status,reason,shortage_start,estimated_end,mitigation_prh,mitigation_npra,alternatives,scraped_at
MY,Malaysia,NPRA,SUBOXONE 8MG SUBLINGUAL TABLETS,"1) Naloxone Hydrochloride 

2) Buprenorphine Hydrochloride  ","1) 8 mg (as hydrochloride) 

2) 2 mg (as hydrochloride dihydrate)",,Sublingual Buccal / Oromucosal,MAL20061582ACRZ,N07BC51,Zuellig Pharma Sdn. Bhd.,"Reckitt Benckiser Healthcare (UK) Limited, Dansom Lane, United Kingdom.",Discontinuation,Anticipated,Business Decision / voluntary market withdrawal,2028-04-01,,Switch to locally available equivalent product,Registered alternative product is not available. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement,,2026-03-13T16:06:57.938019
MY,Malaysia,NPRA,Suboxone Film 2mg/0.5mg,"1) Naloxone Hydrochloride 

2) Buprenorphine Hydrochloride  ","1) 2 mg (as hydrochloride) 

2) 0.5 mg (as hydrochloride dihydrate)",,Sublingual Buccal / Oromucosal,MAL23026005ACRSZ,N07BC51,Zuellig Pharma Sdn. Bhd.,"Aquestive Therapeutics Inc., 6465 Ameriplex Drive, United States.",Discontinuation,Anticipated,Business Decision / voluntary market withdrawal,2026-08-01,,"Switch patients from Suboxone Film to a locally available product, start at the same dose and monitor closely for withdrawal or underdosing, adjusting as necessary.",Registered alternative product is not available. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement,,2026-03-13T16:06:57.938019
MY,Malaysia,NPRA,Suboxone Film 8mg/2mg,"1) Naloxone Hydrochloride 

2) Buprenorphine Hydrochloride  ","1) 8 mg (as hydrochloride) 

2) 2 mg (as hydrochloride dihydrate)",,Sublingual Buccal / Oromucosal,MAL23026006ACRSZ,N07BC51,Zuellig Pharma Sdn. Bhd.,"Aquestive Therapeutics Inc., 6465 Ameriplex Drive, United States.",Discontinuation,Anticipated,Business Decision / voluntary market withdrawal,2026-08-01,,"Switch patients from Suboxone Film to a locally available product, start at the same dose and monitor closely for withdrawal or underdosing, adjusting as necessary.",Registered alternative product is not available. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement,,2026-03-13T16:06:57.939054
MY,Malaysia,NPRA,Kaletra Oral Solution,Lopinavir/Ritonavir,80 mg/20 mg per mL,,Oral solution,MAL20020996AZ,J05AR10,AbbVie Sdn Bhd,AbbVie Inc,Discontinuation,Anticipated,Business decision,2026-12-31,,PRH has not proposed any mitigation plan.,Registered alternative products are available,Lopinavir + Ritonavir shortage 2nd ver. 260309.pdf,2026-03-13T16:06:57.939054
MY,Malaysia,NPRA,Norvir Tablet 100mg,Ritonavir,100mg ,,Tablet,MAL13015040ARZ,J05AE03,AbbVie Sdn Bhd,Abbvie Deutschland GmbH & Co.KG,Discontinuation,Anticipated,Business decision,2026-12-31,,"Alternative medicine proposed by PRH: 

RITOVIR (Ritonavir Tablets 100 mg) (MAL17085058AZ)",Registered alternative product is not available. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement,,2026-03-13T16:06:57.939054
MY,Malaysia,NPRA,Kaletra 100mg/25mg Film-Coated Tablet,Lopinavir/Ritonavir,100mg/25mg,,Tablet,MAL10063000AZ,J05AR10,AbbVie Sdn Bhd,Abbvie Deutschland GmbH & Co.KG,Discontinuation,Anticipated,Business decision,2026-12-31,,"Alternative medicine proposed by PRH: 

HIVUS - LR 100/25 [Lopinavir 100mg and Ritonavir 25mg Film Coated Tablets USP] (MAL23076008AZ)",Registered alternative products are available,Lopinavir + Ritonavir shortage 2nd ver. 260309.pdf,2026-03-13T16:06:57.939054
MY,Malaysia,NPRA,Dapiga 10mg Film Coated Tablets,Dapagliflozin,10mg,,Film Coated Tablets,MAL22126055AZ,A10BK01,NOVUGEN PHARMA SDN. BHD.,NOVUGEN PHARMA SDN. BHD. (MALAYSIA),Shortage,Resolved,Increased Demand,2025-10-24,2025-12-12,Initiated production to meet the revised demand.,"Registered alternative products are available 

26 December 2025 update:
The justification has been reviewed and deemed satisfactory. This notification will remain published for an additional period of three (3) months, until 27 March 2026.",,2026-03-13T16:06:57.939054
MY,Malaysia,NPRA,FLUVIR 75 (Oseltamivir Phosphate Capsules 75mg),OSELTAMIVIR PHOSPHATE,75 mg,,Capsule,MAL23046011AZ,J05AH02,CAMBER LABORATORIES SDN. BHD.,"Hetero Labs Limited, India",Shortage,Resolved,Demand increases drastically,2025-10-22,2025-11-08,PRH is in the process of bring in new stock.,"Registered alternative products are available 

20 Januari 2026 update:
The justification has been reviewed and deemed satisfactory. This notification will remain published for an additional period of three (3) months, until 21 April 2026.",,2026-03-13T16:06:57.940020
MY,Malaysia,NPRA,Starflu-75 (Oseltamivir Capsule 75mg),OSELTAMIVIR PHOSPHATE,75mg,,CAPSULE,MAL09111816AZ,J05AH02,GERMAX SDN. BHD.,"Strides Pharma Science Limited, India",Shortage,Resolved,Demand increases drastically,2025-10-14,2026-02-01,PRH has implemented stock rationing measures to ensure continued supply to prescribers.,"Registered alternative products are available 

20 Januari 2026 update:
The justification has been reviewed and deemed satisfactory. This notification will remain published for an additional period of three (3) months, until 21 April 2026.",,2026-03-13T16:06:57.940020
MY,Malaysia,NPRA,COBRA ANTIVENIN (PURIFIED) STERILE POWDER FOR INJECTION,CRUDE PLASMA OF COBRA ANTIVENIN,49 ML,,"INJECTION, POWDER",MAL20091909AZ,J06AA03,IDAMAN PHARMA SDN. BHD.,"QUEEN SAOVABHA MEMORIAL INSTITUTE, THE THAI RED CROSS SOCIETY",Shortage,Resolved,Increased Demand,2025-09-13,2026-01-28,"i. PRH will align order quantities with demand by maintaining a one-month buffer stock.

ii. The manufacturer will be provided with a usage forecast based on historical data and usage trends from the past year.","Registered alternative product is not available. Doctors are advised to ensure patients receive suitable alternative treatment based on their clinical judgement

28 Januari 2026 update:
The justification has been reviewed and deemed satisfactory. This notification will remain published for an additional period of three (3) months, until 29 April 2026.",,2026-03-13T16:06:57.940020
MY,Malaysia,NPRA,Omiflu Capsule 75mg,OSELTAMIVIR PHOSPHATE,75mg,,Capsule,MAL07090926AZ,J05AH02,DUOPHARMA (M) SENDIRIAN BERHAD,DUOPHARMA (M) SENDIRIAN BERHAD,Shortage,Resolved,Demand increases drastically,2025-10-17,2026-02-28,PRH are currently planning the production of the next batch.,Registered alternative products are available,,2026-03-13T16:06:57.940020
MY,Malaysia,NPRA,Osmivir Capsule 75mg,Oseltamivir Phosphate,75mg,,Capsule,MAL06100581AZ,J05AH02 ,Royce Pharma Manufacturing Sdn. Bhd.,Royce Pharma Manufacturing Sdn. Bhd.,Shortage,Resolved,Demand increases drastically,2025-10-15,,Increase the production of Osmivir Capsule 75mg and ensure the buffer stock available.,"Registered alternative products are available 

06 March 2026 update:
The justification has been reviewed and deemed satisfactory. This notification will remain published for an additional period of three (3) months, until 5 June 2026.",,2026-03-13T16:06:57.941019
MY,Malaysia,NPRA,FENOLIP CAPSULE 300MG,FENOFIBRATE,300MG,,CAPSULE,MAL19992757AZ,C10AB05,PAHANG PHARMACY SDN. BHD.,Noripharma Sdn. Bhd.,Discontinuation,Resolved,"Low in demand for 300mg, and the holder has an alternative 200mg strength 
",2023-03-31,,"The product registration status is maintained, and local marketing may be resumed if there is future demand.","No medicine shortage is anticipated. 

10 March 2026 update: 
As the discontinuation report was submitted on 12 Januari 2026, this notification will remain published until 30 June 2026.",,2026-03-13T16:06:57.941019
MY,Malaysia,NPRA,MINIRIN TABLET 0.2MG,Desmopressin Acetate,0.2mg,,Tablet,MAL19950097ARZ,H01B A02,Ferring Sdn. Bhd.,Ferring International Center SA,Discontinuation,Resolved,Reduced demand,2024-01-12,,"The product registration status is maintained, and local marketing may be resumed if there is future demand. Alternate medicines are available proposed by PRH: 
1. Minirin Oral Lyophilisate for sublingual 60mcg [MAL17107075ACRZ]
2. Minirin Oral Lyophilisate for sublingual 120mcg [MAL17107076ACRZ]
3. Minirin Injection 4mcg/ml [MAL19890565ARZ]
4. Minirin Tablet 0.1mg [MAL19950096ARZ]","Registered alternative products are available 

06 Januari 2026 update:
The justification has been reviewed and deemed satisfactory. This notification will remain published for an additional period of three (3) months, until 7 April 2026.",Desmopressin Alternatives,2026-03-13T16:06:57.941019
MY,Malaysia,NPRA,Panadol Cold+Flu-ND Caplet,"1. Paracetamol 

2. Phenylephrine HCL","1. 500mg 

2. 5mg",,TABLET,MAL09062126ACRZ,N02BE51 ,Haleon Malaysia Sdn Bhd,Aspen Pharma Pty Ltd,Discontinuation,Resolved,Reduced demand,2024-12-31,,"The product registration status is maintained, and local marketing may be resumed if there is future demand.","No medicine shortage is anticipated. 

10 March 2026 Notes: 
As the discontinuation report was submitted on 10 March 2026, this notification will remain published until 31 December 2026.",,2026-03-13T16:06:57.941019
MY,Malaysia,NPRA,Panadol C Tablet ,"1. Paracetamol

2. Pseudoephedrine hydrochloride","1. 500mg 
2. 30mg",,Tablet,MAL19950231AZ,V03AX ,Haleon Malaysia Sdn Bhd,Sterling Drug (Malaya) Sdn. Bhd.,Discontinuation,Resolved,Reduced demand,2018-12-31,,"The product registration status is maintained, and local marketing may be resumed if there is future demand.","No medicine shortage is anticipated. 

10 March 2026 Notes: 
As the discontinuation report was submitted on 10 March 2026, this notification will remain published until 31 December 2026.",,2026-03-13T16:06:57.942018
MY,Malaysia,NPRA,13/03/2026 23:06:20,,,,,,,Data published as of,,,,,,,,,,2026-03-13T16:06:57.942018
