country_code,country_name,source,medicine_name,active_substance,strength,package_size,atc_code,status,shortage_start,estimated_end,notice_title,notice_url,notice_date,pdf_url,scraped_at,prk
ZA,South Africa,SAHPRA,ParaspanIV,,,,,recalled,2019-10-22,,Aspen Pharmacare Recall Letter,https://www.sahpra.org.za/aspen-pharmacare-recall-letter/,2019-10-22,https://www.sahpra.org.za/wp-content/uploads/2019/10/4c387e7bParaspenIV_Aspen_Pharmacare_RecallLetter_16February2015.pdf,2026-07-23T14:56:01.774381,
ZA,South Africa,SAHPRA,PamspenIV,,,,,recalled,2019-10-22,,Aspen Pharmacare Recall Letter,https://www.sahpra.org.za/aspen-pharmacare-recall-letter/,2019-10-22,https://www.sahpra.org.za/wp-content/uploads/2019/10/4c387e7bParaspenIV_Aspen_Pharmacare_RecallLetter_16February2015.pdf,2026-07-23T14:56:01.774383,
ZA,South Africa,SAHPRA,PeraspsnIV,,,,,recalled,2019-10-22,,Aspen Pharmacare Recall Letter,https://www.sahpra.org.za/aspen-pharmacare-recall-letter/,2019-10-22,https://www.sahpra.org.za/wp-content/uploads/2019/10/4c387e7bParaspenIV_Aspen_Pharmacare_RecallLetter_16February2015.pdf,2026-07-23T14:56:01.774383,
ZA,South Africa,SAHPRA,Paraspen IV,,,,,recalled,2019-10-22,,Aspen Pharmacare Recall Letter,https://www.sahpra.org.za/aspen-pharmacare-recall-letter/,2019-10-22,https://www.sahpra.org.za/wp-content/uploads/2019/10/4c387e7bParaspenIV_Aspen_Pharmacare_RecallLetter_16February2015.pdf,2026-07-23T14:56:01.774384,
ZA,South Africa,SAHPRA,PamspenlV,,,,,recalled,2019-10-22,,Aspen Pharmacare Recall Letter,https://www.sahpra.org.za/aspen-pharmacare-recall-letter/,2019-10-22,https://www.sahpra.org.za/wp-content/uploads/2019/10/4c387e7bParaspenIV_Aspen_Pharmacare_RecallLetter_16February2015.pdf,2026-07-23T14:56:01.774389,
ZA,South Africa,SAHPRA,PamsponIV,,,,,recalled,2019-10-22,,Aspen Pharmacare Recall Letter,https://www.sahpra.org.za/aspen-pharmacare-recall-letter/,2019-10-22,https://www.sahpra.org.za/wp-content/uploads/2019/10/4c387e7bParaspenIV_Aspen_Pharmacare_RecallLetter_16February2015.pdf,2026-07-23T14:56:01.774394,
ZA,South Africa,SAHPRA,Broncleer with Codeine Adcock Ingram Recall Letter,,,,R05DA04,recalled,2019-10-22,,Broncleer with Codeine Adcock Ingram Recall Letter,https://www.sahpra.org.za/broncleer-with-codeine-adcock-ingram-recall-letter/,2019-10-22,,2026-07-23T14:56:02.120554,
ZA,South Africa,SAHPRA,Pharma Natura Recall Letter,,,,,recalled,2019-10-21,,Pharma Natura Recall Letter,https://www.sahpra.org.za/pharma_natura_recallletter/,2019-10-21,,2026-07-23T14:56:03.478899,
ZA,South Africa,SAHPRA,PFIZER Laboratories Recall Letter,,,,J07BN01,recalled,2019-10-21,,PFIZER Laboratories Recall Letter,https://www.sahpra.org.za/pfizer/,2019-10-21,,2026-07-23T14:56:04.125938,
ZA,South Africa,SAHPRA,Ultak,,,,,recalled,2019-10-12,,RANITIDINE CONTAINING MEDICINES UPDATE,https://www.sahpra.org.za/ranitidine-containing-medicines-update/,2019-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/01/Media-Release-Ranitidine-containing-medicines-Update-31October2019.pdf,2026-07-23T14:56:05.371383,
ZA,South Africa,SAHPRA,Zantac,,,,,recalled,2019-10-12,,RANITIDINE CONTAINING MEDICINES UPDATE,https://www.sahpra.org.za/ranitidine-containing-medicines-update/,2019-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/01/Media-Release-Ranitidine-containing-medicines-Update-31October2019.pdf,2026-07-23T14:56:05.371390,
ZA,South Africa,SAHPRA,Ranihexal,,,,,recalled,2019-10-12,,RANITIDINE CONTAINING MEDICINES UPDATE,https://www.sahpra.org.za/ranitidine-containing-medicines-update/,2019-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/01/Media-Release-Ranitidine-containing-medicines-Update-31October2019.pdf,2026-07-23T14:56:05.371392,
ZA,South Africa,SAHPRA,CPL Alliance Ranitidine,,,,A02BA02,recalled,2019-10-12,,RANITIDINE CONTAINING MEDICINES UPDATE,https://www.sahpra.org.za/ranitidine-containing-medicines-update/,2019-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/01/Media-Release-Ranitidine-containing-medicines-Update-31October2019.pdf,2026-07-23T14:56:05.371393,
ZA,South Africa,SAHPRA,Ranitidine 300 Biotech,,,,A02BA02,recalled,2019-10-12,,RANITIDINE CONTAINING MEDICINES UPDATE,https://www.sahpra.org.za/ranitidine-containing-medicines-update/,2019-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/01/Media-Release-Ranitidine-containing-medicines-Update-31October2019.pdf,2026-07-23T14:56:05.371394,
ZA,South Africa,SAHPRA,Gulf-Ranatidine,,,,,recalled,2019-10-12,,RANITIDINE CONTAINING MEDICINES UPDATE,https://www.sahpra.org.za/ranitidine-containing-medicines-update/,2019-10-12,https://www.sahpra.org.za/wp-content/uploads/2020/01/Media-Release-Ranitidine-containing-medicines-Update-31October2019.pdf,2026-07-23T14:56:05.371395,
ZA,South Africa,SAHPRA,DicloHexal 50 mg Sandoz Recall letter,,,,,recalled,2019-07-26,,DicloHexal 50 mg Sandoz Recall letter,https://www.sahpra.org.za/diclohexal-50-mg-sandoz-recall-letter/,2019-07-26,,2026-07-23T14:56:05.371633,
ZA,South Africa,SAHPRA,Benylin Johnson & Johnson Recall letter,,,,,recalled,2019-07-26,,Benylin Johnson & Johnson Recall letter,https://www.sahpra.org.za/benylin-johnson-johnson-recall-letter/,2019-07-26,,2026-07-23T14:56:05.371745,
ZA,South Africa,SAHPRA,Bioplus Adcock Ingram Recall Letter,,,,,recalled,2019-07-26,,Bioplus Adcock Ingram Recall Letter,https://www.sahpra.org.za/bioplus-adcock-ingram-recall-letter/,2019-07-26,,2026-07-23T14:56:05.371878,
ZA,South Africa,SAHPRA,SAHPRA Offices will be unavailable on 29 November 2024,,,,,shortage,2024-11-29,,SAHPRA Offices will be unavailable on 29 November 2024,https://www.sahpra.org.za/sahpra-offices-will-be-unavailable-on-29-november-2024/,2024-11-29,,2026-07-23T14:56:05.372018,
ZA,South Africa,SAHPRA,SAHPRA Service Desk unavailability due to maintenance,,,,,resolved,2023-12-08,,SAHPRA Service Desk unavailability due to maintenance,https://www.sahpra.org.za/sahpra-service-desk-unavailability-due-to-maintenance/,2023-12-08,,2026-07-23T14:56:05.372249,
ZA,South Africa,SAHPRA,Guidance on the use of the Janssen Ad26.COV2.S (COVID-19) vaccine in pregnant and lactating women,,,,J07BN01,discontinued,2021-04-29,,Guidance on the use of the Janssen Ad26.COV2.S (COVID-19) vaccine in pregnant and lactating women,https://www.sahpra.org.za/guidance-on-the-use-of-the-janssen-ad26-cov2-s-covid-19-vaccine-in-pregnant-and-lactating-women/,2021-04-29,,2026-07-23T14:56:06.634719,
ZA,South Africa,SAHPRA,"induced liver injury (DILI) associ- ated with use of Esbriet® (pirfenidone): The Professional Information (PI) and Patient Information Leaflet (PIL) will be updated in line with this new safety information. Background on the safety concern Esbriet (pirfenidone) is an anti-fibrotic and anti-inflammatory medicine indicated for the treatment of idiopathic pulmonary fibrosis (IPF). Recently, serious hepatic adverse events including cases with fatal outcome have been repor- ted in IPF patients treated with pirfenidone. Although the aetiology is unclear, idiosyncratic re- actions may underlie DILI following treatment with pirfenidone. During clinical development, an increased cumulative incidence of hepatic treatment-emergent adverse events was observed in patients treated with pirfenidone (9,5 %) vs. placebo (4,3 %), the majority of which were laboratory abnormalities. An overview of the available data from clinical trials, post-marketing data and literature showed that the majority of the reported hepatic events occurred within the first months of treatment with pirfenidone. Advice to healthcare professionals : Hepatic transaminases and bilirubin levels should be investigated before treatment initiation, subsequently at monthly intervals for the first 6 months and then every 3 months thereafter. Prompt clinical evaluation and liver function tests should be performed in patients with symptoms that may indicate DILI such as fatigue, anorexia, right upper abdominal discomfort, dark urine or jaundice. If a patient exhibits aminotransferase elevation >3 to <5 x ULN accompanied by hyperbilirubinaemia or clinical signs or symptoms indicative of liver injury, or aminotransferase elevation to ≥5 x ULN, Esbriet® should be permanently discontinued. Healthcare professionals are urged to report any adverse drug reactions (ADRs) or product quality issues associated with the use of Esbriet® (pirfenidone) to Roche Products (Pty) Ltd, or to SAHPRA via the eReporting link available on the SAHPRA website ( www.sahpra.org.za ). Download PDF",,,,L04AX05,discontinued,2020-11-10,,Risk of Drug-Induced Liver Injury associated with the use of Esbriet®,https://www.sahpra.org.za/risk-of-drug-induced-liver-injury-associated-with-the-use-of-esbriet-pirfenidone/,2020-11-10,,2026-07-23T14:56:36.954835,146765
